graph	algo	size	time	opt	seed	mem
dac2012_superblue11.hgr.random100	bmatching	260445	3604.08	0	1	4634328
dac2012_superblue11.hgr.random100	bmatching	260445	3604.04	0	21	4635948
dac2012_superblue11.hgr.random100	bmatching	260445	3604.08	0	203	4636168
dac2012_superblue11.hgr.random100	bmatching	260445	3604.03	0	1002	4633580
dac2012_superblue16.hgr.random100	bmatching	221950	3603.71	0	1	8868624
dac2012_superblue16.hgr.random100	bmatching	221950	3603.84	0	21	8865980
dac2012_superblue16.hgr.random100	bmatching	221950	3603.73	0	203	8866760
dac2012_superblue16.hgr.random100	bmatching	221950	3603.71	0	1002	8868128
dac2012_superblue6.hgr.random100	bmatching	249685	3604.3	0	1	4848492
dac2012_superblue6.hgr.random100	bmatching	249685	3604.37	0	21	4847052
dac2012_superblue6.hgr.random100	bmatching	249685	3604.39	0	203	4845428
dac2012_superblue6.hgr.random100	bmatching	249685	3604.55	0	1002	4847608
dac2012_superblue7.hgr.random100	bmatching	292995	3605.64	0	1	4863436
dac2012_superblue7.hgr.random100	bmatching	292995	3605.65	0	21	4862448
dac2012_superblue7.hgr.random100	bmatching	292995	3605.68	0	203	4861156
dac2012_superblue7.hgr.random100	bmatching	292995	3605.54	0	1002	4861392
as-caida.mtx.hgr.random100	bmatching	0	3720.01	0	1	14336
as-caida.mtx.hgr.random100	bmatching	0	3720.01	0	21	14336
as-caida.mtx.hgr.random100	bmatching	0	3720.01	0	203	14336
as-caida.mtx.hgr.random100	bmatching	0	3720.01	0	1002	14336
crystk02.mtx.hgr.random100.lg.metis	bmatching	0	3720.02	0	1	184320
crystk02.mtx.hgr.random100.lg.metis	bmatching	0	3720.02	0	21	184320
crystk02.mtx.hgr.random100.lg.metis	bmatching	0	3720.02	0	203	184320
crystk02.mtx.hgr.random100.lg.metis	bmatching	0	3720.02	0	1002	184320
dictionary28.mtx.hgr.random100	bmatching	0	3720.01	0	1	17408
dictionary28.mtx.hgr.random100	bmatching	0	3720.01	0	21	17408
dictionary28.mtx.hgr.random100	bmatching	0	3720.01	0	203	17408
dictionary28.mtx.hgr.random100	bmatching	0	3720.01	0	1002	17408
IMDB.mtx.hgr.random100	bmatching	0	3720.02	0	1	133120
IMDB.mtx.hgr.random100	bmatching	0	3720.02	0	21	133120
IMDB.mtx.hgr.random100	bmatching	0	3720.02	0	203	133120
IMDB.mtx.hgr.random100	bmatching	0	3720.02	0	1002	133120
sat14_dated-10-17-u.cnf.hgr.random100	bmatching	146160	3602.88	0	1	1165328
sat14_dated-10-17-u.cnf.hgr.random100	bmatching	146160	3602.85	0	21	1164672
kron_g500-logn16.mtx.hgr.random100.rendered	bmatching	0	3720.03	0	1	69632
sat14_dated-10-17-u.cnf.hgr.random100	bmatching	146160	3602.84	0	203	1163648
kron_g500-logn16.mtx.hgr.random100.rendered	bmatching	0	3720.02	0	21	69632
sat14_dated-10-17-u.cnf.hgr.random100	bmatching	146160	3602.84	0	1002	1163532
kron_g500-logn16.mtx.hgr.random100.rendered	bmatching	0	3720.02	0	203	69632
kron_g500-logn16.mtx.hgr.random100.rendered	bmatching	0	3720.02	0	1002	69632
sat14_UCG-15-10p1.cnf.hgr.random100	bmatching	132284	3602.71	0	1	1027972
sat14_UCG-15-10p1.cnf.hgr.random100	bmatching	132284	3602.6	0	21	1028976
sat14_UCG-15-10p1.cnf.hgr.random100	bmatching	132284	3602.62	0	203	1026004
sat14_UCG-15-10p1.cnf.hgr.random100	bmatching	132284	3602.71	0	1002	1027600
sat14_UCG-15-10p1.cnf.primal.hgr.random100	bmatching	39543	3602.61	0	1	2552016
sat14_UCG-15-10p1.cnf.primal.hgr.random100	bmatching	39543	3602.65	0	21	2554176
sat14_UCG-15-10p1.cnf.primal.hgr.random100	bmatching	39543	3602.62	0	203	2551192
sat14_UCG-15-10p1.cnf.primal.hgr.random100	bmatching	39543	3602.72	0	1002	2549908
soc-sign-epinions.mtx.hgr.random100	bmatching	0	3720.02	0	1	31744
soc-sign-epinions.mtx.hgr.random100	bmatching	0	3720.01	0	21	31744
soc-sign-epinions.mtx.hgr.random100	bmatching	0	3720.02	0	203	31744
soc-sign-epinions.mtx.hgr.random100	bmatching	0	3720.01	0	1002	30720
as-22july06.mtx.hgr.random100	bmatching	2057	0.18	1	1	40960
as-22july06.mtx.hgr.random100	bmatching	2057	0.16	1	21	40960
