graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	rbmatching	2057	0.02491	1	1	9216
as-22july06.mtx.hgr.random100	rbmatching	2057	0.0199	1	21	9216
as-22july06.mtx.hgr.random100	rbmatching	2057	0.01821	1	203	9216
as-22july06.mtx.hgr.random100	rbmatching	2057	0.02022	1	1002	9216
as-caida.mtx.hgr.random100	rbmatching	7339	0.02539	1	1	11264
as-caida.mtx.hgr.random100	rbmatching	7339	0.02178	1	21	11264
as-caida.mtx.hgr.random100	rbmatching	7339	0.02453	1	203	11264
as-caida.mtx.hgr.random100	rbmatching	7339	0.0243	1	1002	12288
bips07_1998.mtx.hgr.random100	rbmatching	5359	0.06931	1	1	16384
bips07_1998.mtx.hgr.random100	rbmatching	5359	0.04754	1	21	16384
bips07_1998.mtx.hgr.random100	rbmatching	5359	0.03988	1	203	15360
bips07_1998.mtx.hgr.random100	rbmatching	5359	0.04559	1	1002	16384
bloweya.mtx.hgr.random100	rbmatching	10001	0.36021	1	1	11264
bloweya.mtx.hgr.random100	rbmatching	10001	0.36478	1	21	11264
bloweya.mtx.hgr.random100	rbmatching	10001	0.36497	1	203	11264
bloweya.mtx.hgr.random100	rbmatching	10001	0.36459	1	1002	11264
c-64.mtx.hgr.random100	rbmatching	22600	4.32751	1	1	22528
ca-CondMat.mtx.hgr.random100	rbmatching	4057	0.03788	1	1	10240
c-64.mtx.hgr.random100	rbmatching	22600	4.23624	1	21	22528
ca-CondMat.mtx.hgr.random100	rbmatching	4057	0.03435	1	21	10240
c-64.mtx.hgr.random100	rbmatching	22600	4.5745	1	203	22528
ca-CondMat.mtx.hgr.random100	rbmatching	4057	0.03371	1	203	10240
ca-CondMat.mtx.hgr.random100	rbmatching	4057	0.034	1	1002	10240
c-64.mtx.hgr.random100	rbmatching	22600	4.21982	1	1002	22528
case39.mtx.hgr.random100.rendered	rbmatching	10017	0.27899	1	1	23552
case39.mtx.hgr.random100.rendered	rbmatching	10017	0.27761	1	21	23552
case39.mtx.hgr.random100.rendered	rbmatching	10017	0.28129	1	203	23552
case39.mtx.hgr.random100.rendered	rbmatching	10017	0.27859	1	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	rbmatching	1	0.0828	1	1	76800
Chebyshev4.mtx.hgr.random100.rendered	rbmatching	1	0.07907	1	21	76800
Chebyshev4.mtx.hgr.random100.rendered	rbmatching	1	0.0789	1	203	76800
Chebyshev4.mtx.hgr.random100.rendered	rbmatching	1	0.07966	1	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	rbmatching	131	0.00758	1	1	9216
Chem97Zt.mtx.hgr.random100.rendered	rbmatching	131	0.00729	1	21	8192
Chem97Zt.mtx.hgr.random100.rendered	rbmatching	131	0.01355	1	203	9216
Chem97Zt.mtx.hgr.random100.rendered	rbmatching	131	0.01369	1	1002	9216
crystk02.mtx.hgr.random100.lg.metis	rbmatching	1941959	7.7186	1	1	433152
crystk02.mtx.hgr.random100.lg.metis	rbmatching	1941959	7.85346	1	21	433152
crystk02.mtx.hgr.random100.lg.metis	rbmatching	1941959	7.81598	1	203	433152
crystk02.mtx.hgr.random100.lg.metis	rbmatching	1941959	7.74572	1	1002	433152
dac2012_superblue16.hgr.random100	rbmatching	221950	102.498	1	1	592400
dac2012_superblue16.hgr.random100	rbmatching	221950	102.545	1	21	593036
dac2012_superblue16.hgr.random100	rbmatching	221950	102.793	1	203	593408
dac2012_superblue16.hgr.random100	rbmatching	221950	102.475	1	1002	594152
dictionary28.mtx.hgr.random100	rbmatching	29631	2.32721	1	1	35840
dictionary28.mtx.hgr.random100	rbmatching	29631	2.32259	1	21	35840
ex19.mtx.hgr.random100	rbmatching	985	0.01626	1	1	8192
dictionary28.mtx.hgr.random100	rbmatching	29631	2.32225	1	203	35840
ex19.mtx.hgr.random100	rbmatching	985	0.01252	1	21	8192
dictionary28.mtx.hgr.random100	rbmatching	29631	2.31248	1	1002	35840
ex19.mtx.hgr.random100	rbmatching	985	0.01215	1	203	8192
ex19.mtx.hgr.random100	rbmatching	985	0.01232	1	1002	8192
g7jac040sc.mtx.hgr.random100	rbmatching	2960	0.23363	1	1	25312
g7jac040sc.mtx.hgr.random100	rbmatching	2960	0.23121	1	21	25224
g7jac040sc.mtx.hgr.random100	rbmatching	2960	0.23189	1	203	25228
g7jac040sc.mtx.hgr.random100	rbmatching	2960	0.23046	1	1002	25576
garon2.mtx.hgr.random100	rbmatching	400	0.75628	1	1	23552
garon2.mtx.hgr.random100	rbmatching	400	0.73622	1	21	23552
garon2.mtx.hgr.random100	rbmatching	400	0.75605	1	203	23552
garon2.mtx.hgr.random100	rbmatching	400	0.75622	1	1002	23552
IMDB.mtx.hgr.random100	rbmatching	138181	2.28271	1	1	221184
IMDB.mtx.hgr.random100	rbmatching	138181	2.35217	1	21	221184
IMDB.mtx.hgr.random100	rbmatching	138181	2.31754	1	203	221184
IMDB.mtx.hgr.random100	rbmatching	138181	2.32162	1	1002	220160
dac2012_superblue7.hgr.random100	rbmatching	292995	120.825	1	1	871860
kron_g500-logn16.mtx.hgr.random100.rendered	rbmatching	14103	0.38701	1	1	71680
kron_g500-logn16.mtx.hgr.random100.rendered	rbmatching	14103	0.38441	1	21	71680
dac2012_superblue7.hgr.random100	rbmatching	292995	120.597	1	203	871860
dac2012_superblue7.hgr.random100	rbmatching	292995	121.647	1	21	871860
kron_g500-logn16.mtx.hgr.random100.rendered	rbmatching	14103	0.38606	1	203	71680
dac2012_superblue7.hgr.random100	rbmatching	292995	121.256	1	1002	871860
kron_g500-logn16.mtx.hgr.random100.rendered	rbmatching	14103	0.38076	1	1002	71680
lhr14.mtx.hgr.random100	rbmatching	4314	0.14256	1	1	15360
lhr14.mtx.hgr.random100	rbmatching	4314	0.12638	1	21	15360
lhr14.mtx.hgr.random100	rbmatching	4314	0.1277	1	203	15360
lhr14.mtx.hgr.random100	rbmatching	4314	0.12556	1	1002	15360
lp_pds_20.mtx.hgr.random100	rbmatching	14743	0.73294	1	1	65212
lp_pds_20.mtx.hgr.random100	rbmatching	14743	0.74658	1	21	64712
lp_pds_20.mtx.hgr.random100	rbmatching	14743	0.73385	1	203	64732
lp_pds_20.mtx.hgr.random100	rbmatching	14743	0.73363	1	1002	65008
msc10848.mtx.hgr.random100	rbmatching	88	0.1134	1	1	20480
msc10848.mtx.hgr.random100	rbmatching	88	0.11524	1	21	20480
msc10848.mtx.hgr.random100	rbmatching	88	0.11298	1	203	20480
msc10848.mtx.hgr.random100	rbmatching	88	0.11537	1	1002	20480
mult_dcop_01.mtx.hgr.random100.rendered	rbmatching	1540	0.05389	1	1	10240
mult_dcop_01.mtx.hgr.random100.rendered	rbmatching	1540	0.04942	1	21	10240
mult_dcop_01.mtx.hgr.random100.rendered	rbmatching	1540	0.05327	1	203	10240
mult_dcop_01.mtx.hgr.random100.rendered	rbmatching	1540	0.05163	1	1002	10240
poli3.mtx.hgr.random100	rbmatching	3523	0.0133	1	1	7168
poli3.mtx.hgr.random100	rbmatching	3523	0.00658	1	21	7168
poli3.mtx.hgr.random100	rbmatching	3523	0.01229	1	203	7168
poli3.mtx.hgr.random100	rbmatching	3523	0.0125	1	1002	7168
psse2.mtx.hgr.random100	rbmatching	3098	0.04578	1	1	16384
psse2.mtx.hgr.random100	rbmatching	3098	0.03857	1	21	16384
psse2.mtx.hgr.random100	rbmatching	3098	0.0443	1	203	16384
psse2.mtx.hgr.random100	rbmatching	3098	0.04433	1	1002	16384
sat14_6s11-opt.cnf.hgr.random100	rbmatching	30343	0.21447	1	1	27648
sat14_6s11-opt.cnf.hgr.random100	rbmatching	30343	0.21378	1	21	27648
sat14_6s11-opt.cnf.hgr.random100	rbmatching	30343	0.21454	1	203	27648
sat14_6s11-opt.cnf.hgr.random100	rbmatching	30343	0.21438	1	1002	27648
sat14_6s12.cnf.hgr.random100	rbmatching	31353	0.72702	1	1	47580
sat14_6s12.cnf.hgr.random100	rbmatching	31353	0.72968	1	21	47580
sat14_6s12.cnf.hgr.random100	rbmatching	31353	0.71623	1	203	47488
sat14_6s12.cnf.hgr.random100	rbmatching	31353	0.72871	1	1002	47488
sat14_6s130-opt.cnf.hgr.random100	rbmatching	45782	0.33826	1	1	39936
sat14_6s130-opt.cnf.hgr.random100	rbmatching	45782	0.33675	1	21	39936
sat14_6s130-opt.cnf.hgr.random100	rbmatching	45782	0.33629	1	203	39936
sat14_6s130-opt.cnf.hgr.random100	rbmatching	45782	0.34725	1	1002	39936
sat14_6s130-opt.cnf.primal.hgr.random100	rbmatching	18727	2.93172	1	1	109668
sat14_6s130-opt.cnf.primal.hgr.random100	rbmatching	18727	2.94107	1	21	110232
sat14_6s130-opt.cnf.primal.hgr.random100	rbmatching	18727	2.95166	1	203	110232
sat14_6s133.cnf.primal.hgr.random100	rbmatching	18577	1.11023	1	1	82788
sat14_6s130-opt.cnf.primal.hgr.random100	rbmatching	18727	2.94264	1	1002	110100
sat14_6s133.cnf.primal.hgr.random100	rbmatching	18577	1.10054	1	21	82724
sat14_6s133.cnf.primal.hgr.random100	rbmatching	18577	1.09882	1	203	82236
sat14_6s133.cnf.primal.hgr.random100	rbmatching	18577	1.09995	1	1002	82788
sat14_6s16.cnf.primal.hgr.random100	rbmatching	11807	1.47991	1	1	92036
sat14_6s16.cnf.primal.hgr.random100	rbmatching	11807	1.47956	1	21	92036
sat14_6s16.cnf.primal.hgr.random100	rbmatching	11807	1.47984	1	203	92036
sat14_6s16.cnf.primal.hgr.random100	rbmatching	11807	1.48184	1	1002	92032
sat14_6s184.cnf.hgr.random100	rbmatching	30630	1.15776	1	1	46244
sat14_6s184.cnf.hgr.random100	rbmatching	30630	1.1578	1	21	45976
sat14_6s184.cnf.hgr.random100	rbmatching	30630	1.14711	1	203	46196
sat14_6s184.cnf.hgr.random100	rbmatching	30630	1.14687	1	1002	46644
sat14_AProVE07-27.cnf.dual.hgr.random100	rbmatching	3165	2.95197	1	1	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	rbmatching	3165	2.90811	1	21	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	rbmatching	3165	2.93676	1	203	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	rbmatching	3165	2.92937	1	1002	24576
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rbmatching	7086	69.9698	1	1	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rbmatching	7086	69.7432	1	21	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rbmatching	7086	69.6286	1	203	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rbmatching	7086	70.3884	1	1002	1822720
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rbmatching	4594	17.3005	1	1	348160
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rbmatching	4594	17.2448	1	21	349184
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rbmatching	4594	17.282	1	203	349184
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rbmatching	4594	17.2315	1	1002	349184
sat14_bob12m09-opt.cnf.dual.hgr.random100	rbmatching	24209	14.5106	1	1	259644
sat14_bob12m09-opt.cnf.dual.hgr.random100	rbmatching	24209	14.5162	1	21	259888
sat14_bob12m09-opt.cnf.dual.hgr.random100	rbmatching	24209	14.4789	1	203	259644
sat14_bob12m09-opt.cnf.dual.hgr.random100	rbmatching	24209	14.6195	1	1002	259648
sat14_dated-10-11-u.cnf.hgr.random100	rbmatching	90537	79.253	1	1	259740
sat14_dated-10-11-u.cnf.hgr.random100	rbmatching	90537	79.657	1	21	259736
sat14_dated-10-11-u.cnf.hgr.random100	rbmatching	90537	79.6217	1	203	259736
sat14_dated-10-11-u.cnf.hgr.random100	rbmatching	90537	79.2615	1	1002	259736
ISPD98_ibm11.hgr.random100	rbmatching	19660	707.692	1	1	396296
ISPD98_ibm11.hgr.random100	rbmatching	19660	709.345	1	21	397264
