graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	rsatreduce	2057	0.02629	1	1	9216
as-22july06.mtx.hgr.random100	rsatreduce	2057	0.01983	1	21	9216
as-22july06.mtx.hgr.random100	rsatreduce	2057	0.02007	1	203	9216
as-22july06.mtx.hgr.random100	rsatreduce	2057	0.0201	1	1002	9216
as-caida.mtx.hgr.random100	rsatreduce	7339	0.02745	1	1	12288
as-caida.mtx.hgr.random100	rsatreduce	7339	0.02417	1	21	12288
as-caida.mtx.hgr.random100	rsatreduce	7339	0.02499	1	203	12288
as-caida.mtx.hgr.random100	rsatreduce	7339	0.01985	1	1002	11264
bips07_1998.mtx.hgr.random100	rsatreduce	5359	0.06868	1	1	7168
bips07_1998.mtx.hgr.random100	rsatreduce	5359	0.05728	1	21	7168
bips07_1998.mtx.hgr.random100	rsatreduce	5359	0.06773	1	203	7168
bips07_1998.mtx.hgr.random100	rsatreduce	5359	0.05759	1	1002	7168
bloweya.mtx.hgr.random100	rsatreduce	10001	0.51411	1	1	11264
bloweya.mtx.hgr.random100	rsatreduce	10001	0.50995	1	21	11264
bloweya.mtx.hgr.random100	rsatreduce	10001	0.58066	1	203	11264
bloweya.mtx.hgr.random100	rsatreduce	10001	0.56075	1	1002	11264
ca-CondMat.mtx.hgr.random100	rsatreduce	4057	0.03936	1	1	10240
c-64.mtx.hgr.random100	rsatreduce	22600	5.8424	1	1	22528
ca-CondMat.mtx.hgr.random100	rsatreduce	4057	0.0351	1	21	10240
c-64.mtx.hgr.random100	rsatreduce	22600	5.45242	1	21	22528
ca-CondMat.mtx.hgr.random100	rsatreduce	4057	0.03513	1	203	10240
c-64.mtx.hgr.random100	rsatreduce	22600	5.46597	1	203	22528
ca-CondMat.mtx.hgr.random100	rsatreduce	4057	0.03508	1	1002	10240
c-64.mtx.hgr.random100	rsatreduce	22600	5.73819	1	1002	22528
case39.mtx.hgr.random100.rendered	rsatreduce	10017	0.28501	1	1	23552
case39.mtx.hgr.random100.rendered	rsatreduce	10017	0.28201	1	21	23552
case39.mtx.hgr.random100.rendered	rsatreduce	10017	0.28093	1	203	23552
case39.mtx.hgr.random100.rendered	rsatreduce	10017	0.28204	1	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	rsatreduce	1	0.07898	1	1	76800
Chebyshev4.mtx.hgr.random100.rendered	rsatreduce	1	0.07912	1	21	76800
Chebyshev4.mtx.hgr.random100.rendered	rsatreduce	1	0.07923	1	203	76800
Chebyshev4.mtx.hgr.random100.rendered	rsatreduce	1	0.07885	1	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	rsatreduce	131	0.01452	1	1	9216
Chem97Zt.mtx.hgr.random100.rendered	rsatreduce	131	0.00754	1	21	8192
Chem97Zt.mtx.hgr.random100.rendered	rsatreduce	131	0.0134	1	203	9216
Chem97Zt.mtx.hgr.random100.rendered	rsatreduce	131	0.01336	1	1002	9216
crystk02.mtx.hgr.random100.lg.metis	rsatreduce	1941959	8.69355	1	1	433152
crystk02.mtx.hgr.random100.lg.metis	rsatreduce	1941959	8.66064	1	21	433152
crystk02.mtx.hgr.random100.lg.metis	rsatreduce	1941959	8.50323	1	203	433152
crystk02.mtx.hgr.random100.lg.metis	rsatreduce	1941959	8.66526	1	1002	433152
dac2012_superblue16.hgr.random100	rsatreduce	189953	3607.69	0	1	355636
dac2012_superblue16.hgr.random100	rsatreduce	189953	3607.7	0	21	355904
dac2012_superblue16.hgr.random100	rsatreduce	189953	3607.69	0	203	355904
dac2012_superblue16.hgr.random100	rsatreduce	189953	3607.72	0	1002	355900
dac2012_superblue11.hgr.random100	rsatreduce	230997	3615.91	0	1	558140
ex19.mtx.hgr.random100	rsatreduce	985	0.01887	1	1	8192
dac2012_superblue11.hgr.random100	rsatreduce	230997	3615.89	0	21	558140
ex19.mtx.hgr.random100	rsatreduce	985	0.01325	1	21	8192
dac2012_superblue11.hgr.random100	rsatreduce	230997	3615.88	0	203	558136
ex19.mtx.hgr.random100	rsatreduce	985	0.01229	1	203	8192
dac2012_superblue11.hgr.random100	rsatreduce	230997	3615.97	0	1002	558136
ex19.mtx.hgr.random100	rsatreduce	985	0.01028	1	1002	8192
g7jac040sc.mtx.hgr.random100	rsatreduce	2960	0.32407	1	1	16384
g7jac040sc.mtx.hgr.random100	rsatreduce	2960	0.31936	1	21	16384
g7jac040sc.mtx.hgr.random100	rsatreduce	2960	0.32035	1	203	16384
g7jac040sc.mtx.hgr.random100	rsatreduce	2960	0.32192	1	1002	16384
dac2012_superblue7.hgr.random100	rsatreduce	257673	3648.49	0	1	1087248
dac2012_superblue7.hgr.random100	rsatreduce	257673	3648.42	0	21	1087244
dac2012_superblue7.hgr.random100	rsatreduce	257673	3648.43	0	203	1087244
IMDB.mtx.hgr.random100	rsatreduce	138181	2.32023	1	1	221184
IMDB.mtx.hgr.random100	rsatreduce	138181	2.35802	1	21	221184
IMDB.mtx.hgr.random100	rsatreduce	138181	2.34536	1	203	221184
IMDB.mtx.hgr.random100	rsatreduce	138181	2.39363	1	1002	221184
dac2012_superblue7.hgr.random100	rsatreduce	257673	3652.49	0	1002	1087248
dac2012_superblue6.hgr.random100	rsatreduce	197073	3656.2	0	1	1149412
kron_g500-logn16.mtx.hgr.random100.rendered	rsatreduce	14103	0.37687	1	1	71680
kron_g500-logn16.mtx.hgr.random100.rendered	rsatreduce	14103	0.37727	1	21	71680
dac2012_superblue6.hgr.random100	rsatreduce	197073	3656.35	0	21	1149416
