graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	rstruction	2057	0.02656	1	1	9216
as-22july06.mtx.hgr.random100	rstruction	2057	0.0205	1	21	9216
as-22july06.mtx.hgr.random100	rstruction	2057	0.02158	1	203	9216
as-22july06.mtx.hgr.random100	rstruction	2057	0.01969	1	1002	9216
as-caida.mtx.hgr.random100	rstruction	7339	0.02871	1	1	12288
as-caida.mtx.hgr.random100	rstruction	7339	0.02425	1	21	12288
as-caida.mtx.hgr.random100	rstruction	7339	0.02426	1	203	12288
as-caida.mtx.hgr.random100	rstruction	7339	0.01985	1	1002	11264
bips07_1998.mtx.hgr.random100	rstruction	5359	0.0798	1	1	7168
bips07_1998.mtx.hgr.random100	rstruction	5359	0.05779	1	21	7168
bips07_1998.mtx.hgr.random100	rstruction	5359	0.05726	1	203	7168
bips07_1998.mtx.hgr.random100	rstruction	5359	0.05773	1	1002	7168
bloweya.mtx.hgr.random100	rstruction	10001	0.56742	1	1	11264
bloweya.mtx.hgr.random100	rstruction	10001	0.46041	1	21	11264
bloweya.mtx.hgr.random100	rstruction	10001	0.55991	1	203	11264
bloweya.mtx.hgr.random100	rstruction	10001	0.52295	1	1002	11264
ca-CondMat.mtx.hgr.random100	rstruction	4057	0.03993	1	1	10240
c-64.mtx.hgr.random100	rstruction	22600	5.51414	1	1	22528
ca-CondMat.mtx.hgr.random100	rstruction	4057	0.03441	1	21	10240
c-64.mtx.hgr.random100	rstruction	22600	5.52718	1	21	22528
ca-CondMat.mtx.hgr.random100	rstruction	4057	0.03476	1	203	10240
c-64.mtx.hgr.random100	rstruction	22600	5.49658	1	203	22528
ca-CondMat.mtx.hgr.random100	rstruction	4057	0.03487	1	1002	10240
c-64.mtx.hgr.random100	rstruction	22600	5.93419	1	1002	22528
case39.mtx.hgr.random100.rendered	rstruction	10017	0.28001	1	1	23552
case39.mtx.hgr.random100.rendered	rstruction	10017	0.2803	1	21	23552
case39.mtx.hgr.random100.rendered	rstruction	10017	0.28268	1	203	23552
case39.mtx.hgr.random100.rendered	rstruction	10017	0.28006	1	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	rstruction	1	0.07912	1	1	76800
Chebyshev4.mtx.hgr.random100.rendered	rstruction	1	0.07774	1	21	76800
Chebyshev4.mtx.hgr.random100.rendered	rstruction	1	0.07834	1	203	76800
Chebyshev4.mtx.hgr.random100.rendered	rstruction	1	0.07958	1	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	rstruction	131	0.0145	1	1	9216
Chem97Zt.mtx.hgr.random100.rendered	rstruction	131	0.01301	1	21	9216
Chem97Zt.mtx.hgr.random100.rendered	rstruction	131	0.01361	1	203	9216
Chem97Zt.mtx.hgr.random100.rendered	rstruction	131	0.01353	1	1002	9216
crystk02.mtx.hgr.random100.lg.metis	rstruction	1941959	8.77852	1	1	433152
crystk02.mtx.hgr.random100.lg.metis	rstruction	1941959	8.73176	1	21	433152
crystk02.mtx.hgr.random100.lg.metis	rstruction	1941959	8.51494	1	203	433152
crystk02.mtx.hgr.random100.lg.metis	rstruction	1941959	8.71447	1	1002	433152
dac2012_superblue16.hgr.random100	rstruction	221504	3607.88	0	1	355904
dac2012_superblue16.hgr.random100	rstruction	221501	3607.9	0	21	355900
dac2012_superblue16.hgr.random100	rstruction	221499	3607.91	0	203	355900
dac2012_superblue16.hgr.random100	rstruction	221722	3607.88	0	1002	355900
dac2012_superblue11.hgr.random100	rstruction	251735	3616.14	0	1	558136
ex19.mtx.hgr.random100	rstruction	985	0.01033	1	1	8192
dac2012_superblue11.hgr.random100	rstruction	251739	3616.28	0	21	558136
ex19.mtx.hgr.random100	rstruction	985	0.01277	1	21	8192
dac2012_superblue11.hgr.random100	rstruction	251778	3616.17	0	203	558140
ex19.mtx.hgr.random100	rstruction	985	0.0116	1	203	8192
dac2012_superblue11.hgr.random100	rstruction	251777	3616.21	0	1002	558136
ex19.mtx.hgr.random100	rstruction	985	0.0104	1	1002	8192
g7jac040sc.mtx.hgr.random100	rstruction	2960	0.11222	1	1	8192
g7jac040sc.mtx.hgr.random100	rstruction	2960	0.11044	1	21	8192
g7jac040sc.mtx.hgr.random100	rstruction	2960	0.1085	1	203	8192
g7jac040sc.mtx.hgr.random100	rstruction	2960	0.10424	1	1002	8192
