graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	rvc_solver	2057	0.07462	1	1	9216
as-22july06.mtx.hgr.random100	rvc_solver	2057	0.06031	1	21	9216
as-22july06.mtx.hgr.random100	rvc_solver	2057	0.06006	1	203	9216
as-22july06.mtx.hgr.random100	rvc_solver	2057	0.06019	1	1002	9216
as-caida.mtx.hgr.random100	rvc_solver	7339	0.07636	1	1	12288
as-caida.mtx.hgr.random100	rvc_solver	7339	0.06437	1	21	12288
as-caida.mtx.hgr.random100	rvc_solver	7339	0.07408	1	203	12288
as-caida.mtx.hgr.random100	rvc_solver	7339	0.064	1	1002	12288
bips07_1998.mtx.hgr.random100	rvc_solver	5359	0.0698	1	1	7168
bips07_1998.mtx.hgr.random100	rvc_solver	5359	0.05773	1	21	7168
bips07_1998.mtx.hgr.random100	rvc_solver	5359	0.05798	1	203	7168
bips07_1998.mtx.hgr.random100	rvc_solver	5359	0.05747	1	1002	7168
bloweya.mtx.hgr.random100	rvc_solver	10001	0.51459	1	1	11264
bloweya.mtx.hgr.random100	rvc_solver	10001	0.5157	1	21	11264
bloweya.mtx.hgr.random100	rvc_solver	10001	0.5247	1	203	11264
bloweya.mtx.hgr.random100	rvc_solver	10001	0.51775	1	1002	11264
ca-CondMat.mtx.hgr.random100	rvc_solver	4057	0.08942	1	1	10240
c-64.mtx.hgr.random100	rvc_solver	22600	5.90797	1	1	22528
ca-CondMat.mtx.hgr.random100	rvc_solver	4057	0.08526	1	21	10240
c-64.mtx.hgr.random100	rvc_solver	22600	6.08784	1	21	22528
ca-CondMat.mtx.hgr.random100	rvc_solver	4057	0.08418	1	203	10240
c-64.mtx.hgr.random100	rvc_solver	22600	5.85235	1	203	22528
ca-CondMat.mtx.hgr.random100	rvc_solver	4057	0.07487	1	1002	10240
c-64.mtx.hgr.random100	rvc_solver	22600	5.56467	1	1002	22528
case39.mtx.hgr.random100.rendered	rvc_solver	10017	0.31954	1	1	23552
case39.mtx.hgr.random100.rendered	rvc_solver	10017	0.32709	1	21	23552
case39.mtx.hgr.random100.rendered	rvc_solver	10017	0.31915	1	203	23552
case39.mtx.hgr.random100.rendered	rvc_solver	10017	0.32604	1	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	rvc_solver	1	0.11802	1	1	76800
Chebyshev4.mtx.hgr.random100.rendered	rvc_solver	1	0.11827	1	21	76800
Chebyshev4.mtx.hgr.random100.rendered	rvc_solver	1	0.11923	1	203	76800
Chebyshev4.mtx.hgr.random100.rendered	rvc_solver	1	0.11857	1	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	rvc_solver	131	0.05438	1	1	9216
Chem97Zt.mtx.hgr.random100.rendered	rvc_solver	131	0.04726	1	21	8192
Chem97Zt.mtx.hgr.random100.rendered	rvc_solver	131	0.05358	1	203	9216
Chem97Zt.mtx.hgr.random100.rendered	rvc_solver	131	0.0473	1	1002	8192
crystk02.mtx.hgr.random100.lg.metis	rvc_solver	1941959	8.60051	1	1	433152
crystk02.mtx.hgr.random100.lg.metis	rvc_solver	1941959	8.55162	1	21	433152
crystk02.mtx.hgr.random100.lg.metis	rvc_solver	1941959	8.59138	1	203	433152
crystk02.mtx.hgr.random100.lg.metis	rvc_solver	1941959	8.56179	1	1002	433152
dac2012_superblue16.hgr.random100	rvc_solver	189953	3727.71	0	1	355900
dac2012_superblue16.hgr.random100	rvc_solver	189953	3727.68	0	21	355900
dac2012_superblue16.hgr.random100	rvc_solver	189953	3727.7	0	203	355884
dac2012_superblue16.hgr.random100	rvc_solver	189953	3727.68	0	1002	355900
dac2012_superblue11.hgr.random100	rvc_solver	230997	3735.87	0	1	558140
ex19.mtx.hgr.random100	rvc_solver	985	0.06656	1	1	8192
dac2012_superblue11.hgr.random100	rvc_solver	230997	3736.08	0	21	557448
ex19.mtx.hgr.random100	rvc_solver	985	0.04308	1	21	8192
dac2012_superblue11.hgr.random100	rvc_solver	230997	3736	0	203	558136
ex19.mtx.hgr.random100	rvc_solver	985	0.0504	1	203	8192
dac2012_superblue11.hgr.random100	rvc_solver	230997	3735.86	0	1002	558120
ex19.mtx.hgr.random100	rvc_solver	985	0.05262	1	1002	8192
g7jac040sc.mtx.hgr.random100	rvc_solver	2960	0.12125	1	1	8192
g7jac040sc.mtx.hgr.random100	rvc_solver	2960	0.1206	1	21	8192
g7jac040sc.mtx.hgr.random100	rvc_solver	2960	0.12015	1	203	8192
g7jac040sc.mtx.hgr.random100	rvc_solver	2960	0.11806	1	1002	8192
dac2012_superblue7.hgr.random100	rvc_solver	257673	3768.84	0	21	1087244
dac2012_superblue7.hgr.random100	rvc_solver	257673	3768.99	0	1002	1087248
IMDB.mtx.hgr.random100	rvc_solver	138181	2.38885	1	1	221184
dac2012_superblue7.hgr.random100	rvc_solver	257673	3773.89	0	1	1087248
dac2012_superblue6.hgr.random100	rvc_solver	197073	3775.82	0	1	1149416
IMDB.mtx.hgr.random100	rvc_solver	138181	2.41551	1	21	221184
dac2012_superblue7.hgr.random100	rvc_solver	257673	3773.99	0	203	1087244
IMDB.mtx.hgr.random100	rvc_solver	138181	2.39437	1	203	221184
IMDB.mtx.hgr.random100	rvc_solver	138181	2.38215	1	1002	221184
dac2012_superblue6.hgr.random100	rvc_solver	197073	3776.05	0	21	1149416
kron_g500-logn16.mtx.hgr.random100.rendered	rvc_solver	14103	0.41777	1	1	71680
dac2012_superblue6.hgr.random100	rvc_solver	197073	3775.95	0	1002	1149412
dac2012_superblue6.hgr.random100	rvc_solver	197073	3776.09	0	203	1149412
kron_g500-logn16.mtx.hgr.random100.rendered	rvc_solver	14103	0.4144	1	21	71680
kron_g500-logn16.mtx.hgr.random100.rendered	rvc_solver	14103	0.41781	1	203	71680
kron_g500-logn16.mtx.hgr.random100.rendered	rvc_solver	14103	0.43375	1	1002	71680
lhr14.mtx.hgr.random100	rvc_solver	4314	0.17277	1	1	10240
lhr14.mtx.hgr.random100	rvc_solver	4314	0.16755	1	21	10240
lhr14.mtx.hgr.random100	rvc_solver	4314	0.15368	1	203	10240
lhr14.mtx.hgr.random100	rvc_solver	4314	0.16383	1	1002	10240
dictionary28.mtx.hgr.random100	rvc_solver	29631	88.2571	1	1	625320
msc10848.mtx.hgr.random100	rvc_solver	88	0.13428	1	1	20480
dictionary28.mtx.hgr.random100	rvc_solver	29631	88.2938	1	21	625316
dictionary28.mtx.hgr.random100	rvc_solver	29631	88.1524	1	203	625320
msc10848.mtx.hgr.random100	rvc_solver	88	0.14437	1	21	20480
dictionary28.mtx.hgr.random100	rvc_solver	29631	88.251	1	1002	625484
msc10848.mtx.hgr.random100	rvc_solver	88	0.13462	1	203	20480
msc10848.mtx.hgr.random100	rvc_solver	88	0.1282	1	1002	20480
mult_dcop_01.mtx.hgr.random100.rendered	rvc_solver	1540	0.10433	1	1	10240
mult_dcop_01.mtx.hgr.random100.rendered	rvc_solver	1540	0.09757	1	21	10240
mult_dcop_01.mtx.hgr.random100.rendered	rvc_solver	1540	0.10855	1	203	10240
mult_dcop_01.mtx.hgr.random100.rendered	rvc_solver	1540	0.09734	1	1002	10240
poli3.mtx.hgr.random100	rvc_solver	3523	0.05328	1	1	7168
poli3.mtx.hgr.random100	rvc_solver	3523	0.06237	1	21	7168
poli3.mtx.hgr.random100	rvc_solver	3523	0.05236	1	203	7168
poli3.mtx.hgr.random100	rvc_solver	3523	0.05252	1	1002	7168
psse2.mtx.hgr.random100	rvc_solver	3098	0.05617	1	1	8192
psse2.mtx.hgr.random100	rvc_solver	3098	0.05533	1	21	8192
psse2.mtx.hgr.random100	rvc_solver	3098	0.05398	1	203	8192
psse2.mtx.hgr.random100	rvc_solver	3098	0.06468	1	1002	8192
sat14_6s11-opt.cnf.hgr.random100	rvc_solver	30343	0.16256	1	1	28672
sat14_6s11-opt.cnf.hgr.random100	rvc_solver	30343	0.16362	1	21	28672
sat14_6s11-opt.cnf.hgr.random100	rvc_solver	30343	0.16271	1	203	28672
sat14_6s11-opt.cnf.hgr.random100	rvc_solver	30343	0.16285	1	1002	28672
sat14_6s12.cnf.hgr.random100	rvc_solver	31353	0.39257	1	1	30720
sat14_6s12.cnf.hgr.random100	rvc_solver	31353	0.39335	1	21	30720
sat14_6s12.cnf.hgr.random100	rvc_solver	31353	0.39385	1	203	30720
sat14_6s12.cnf.hgr.random100	rvc_solver	31353	0.39334	1	1002	30720
sat14_6s130-opt.cnf.hgr.random100	rvc_solver	45782	0.24344	1	1	40960
sat14_6s130-opt.cnf.hgr.random100	rvc_solver	45782	0.23279	1	21	40960
sat14_6s130-opt.cnf.hgr.random100	rvc_solver	45782	0.23312	1	203	40960
sat14_6s130-opt.cnf.hgr.random100	rvc_solver	45782	0.23278	1	1002	40960
sat14_6s130-opt.cnf.primal.hgr.random100	rvc_solver	18727	0.95513	1	1	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rvc_solver	18727	0.95532	1	21	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rvc_solver	18727	0.94521	1	203	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rvc_solver	18727	0.95525	1	1002	33792
sat14_6s133.cnf.primal.hgr.random100	rvc_solver	18577	3.23215	1	1	33792
sat14_6s133.cnf.primal.hgr.random100	rvc_solver	18577	3.23219	1	21	33792
sat14_6s133.cnf.primal.hgr.random100	rvc_solver	18577	3.22259	1	203	33792
sat14_6s133.cnf.primal.hgr.random100	rvc_solver	18577	3.24301	1	1002	33792
garon2.mtx.hgr.random100	rvc_solver	7	3720.05	0	1	11264
garon2.mtx.hgr.random100	rvc_solver	7	3720.05	0	21	11264
sat14_6s184.cnf.hgr.random100	rvc_solver	30630	0.41573	1	1	30720
garon2.mtx.hgr.random100	rvc_solver	7	3720.05	0	203	11264
sat14_6s184.cnf.hgr.random100	rvc_solver	30630	0.40205	1	21	30720
garon2.mtx.hgr.random100	rvc_solver	7	3720.05	0	1002	11264
sat14_6s184.cnf.hgr.random100	rvc_solver	30630	0.41033	1	203	30720
sat14_6s184.cnf.hgr.random100	rvc_solver	30630	0.40108	1	1002	30720
sat14_AProVE07-27.cnf.dual.hgr.random100	rvc_solver	3165	2.76464	1	1	25600
sat14_AProVE07-27.cnf.dual.hgr.random100	rvc_solver	3165	2.75241	1	21	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	rvc_solver	3165	2.76524	1	203	25600
sat14_AProVE07-27.cnf.dual.hgr.random100	rvc_solver	3165	2.74143	1	1002	25600
ISPD98_ibm11.hgr.random100	rvc_solver	10397	3720.43	0	1	42604
ISPD98_ibm11.hgr.random100	rvc_solver	10397	3720.43	0	21	42600
ISPD98_ibm11.hgr.random100	rvc_solver	10397	3720.43	0	203	42604
ISPD98_ibm11.hgr.random100	rvc_solver	10397	3720.43	0	1002	42600
lp_pds_20.mtx.hgr.random100	rvc_solver	6380	3720.34	0	1	64648
lp_pds_20.mtx.hgr.random100	rvc_solver	6380	3720.25	0	21	65240
lp_pds_20.mtx.hgr.random100	rvc_solver	6380	3720.25	0	203	65536
lp_pds_20.mtx.hgr.random100	rvc_solver	6380	3720.25	0	1002	65244
sat14_6s16.cnf.primal.hgr.random100	rvc_solver	5092	3720.14	0	1	23552
sat14_6s16.cnf.primal.hgr.random100	rvc_solver	5092	3720.13	0	21	23552
sat14_6s16.cnf.primal.hgr.random100	rvc_solver	5092	3720.14	0	203	23552
sat14_6s16.cnf.primal.hgr.random100	rvc_solver	5092	3720.13	0	1002	23552
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rvc_solver	1502	3726.92	0	1	714588
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rvc_solver	1502	3726.89	0	21	714364
