graph	algo	size	time	opt	seed	mem
bips07_1998.mtx.hgr.random100	satreduce	5359	1.06	1	1	9216
bips07_1998.mtx.hgr.random100	satreduce	5359	0.36	1	21	9216
bips07_1998.mtx.hgr.random100	satreduce	5359	0.23	1	203	9216
bips07_1998.mtx.hgr.random100	satreduce	5359	0.23	1	1002	9216
as-22july06.mtx.hgr.random100	satreduce	2057	11.69	1	1	344864
as-22july06.mtx.hgr.random100	satreduce	2057	11.69	1	21	344664
as-22july06.mtx.hgr.random100	satreduce	2057	11.6	1	203	344660
as-22july06.mtx.hgr.random100	satreduce	2057	11.64	1	1002	344660
ca-CondMat.mtx.hgr.random100	satreduce	4057	1.44	1	1	46700
as-caida.mtx.hgr.random100	satreduce	7339	14.26	1	1	434884
ca-CondMat.mtx.hgr.random100	satreduce	4057	1.6	1	21	46188
as-caida.mtx.hgr.random100	satreduce	7339	14.6	1	21	434368
as-caida.mtx.hgr.random100	satreduce	7339	14.06	1	203	434996
ca-CondMat.mtx.hgr.random100	satreduce	4057	1.57	1	203	46188
ca-CondMat.mtx.hgr.random100	satreduce	4057	1.54	1	1002	46188
as-caida.mtx.hgr.random100	satreduce	7339	14.07	1	1002	434352
bloweya.mtx.hgr.random100	satreduce	10001	39.48	1	1	1623040
bloweya.mtx.hgr.random100	satreduce	10001	40.67	1	21	1623040
bloweya.mtx.hgr.random100	satreduce	10001	40.54	1	203	1623040
bloweya.mtx.hgr.random100	satreduce	10001	39.85	1	1002	1623040
Chem97Zt.mtx.hgr.random100.rendered	satreduce	131	21.63	1	1	220916
Chem97Zt.mtx.hgr.random100.rendered	satreduce	131	20.79	1	21	220920
Chem97Zt.mtx.hgr.random100.rendered	satreduce	131	20.97	1	203	220916
Chem97Zt.mtx.hgr.random100.rendered	satreduce	131	20.89	1	1002	220920
crystk02.mtx.hgr.random100.lg.metis	satreduce	1941959	11.58	1	1	591656
crystk02.mtx.hgr.random100.lg.metis	satreduce	1941959	11.48	1	21	591792
crystk02.mtx.hgr.random100.lg.metis	satreduce	1941959	11.58	1	203	591140
crystk02.mtx.hgr.random100.lg.metis	satreduce	1941959	11.57	1	1002	591788
c-64.mtx.hgr.random100	satreduce	22600	65.73	1	21	2523304
c-64.mtx.hgr.random100	satreduce	22600	65.58	1	1	2522948
c-64.mtx.hgr.random100	satreduce	22600	65.69	1	203	2523308
c-64.mtx.hgr.random100	satreduce	22600	65.53	1	1002	2523708
Chebyshev4.mtx.hgr.random100.rendered	satreduce	-2	258.89	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	satreduce	-2	258.08	0	21	0
Chebyshev4.mtx.hgr.random100.rendered	satreduce	-2	256.77	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	satreduce	-2	256.69	0	1002	0
case39.mtx.hgr.random100.rendered	satreduce	10017	321.75	1	1	6436172
case39.mtx.hgr.random100.rendered	satreduce	10017	325.37	1	1002	6436168
case39.mtx.hgr.random100.rendered	satreduce	10017	327.14	1	21	6436172
case39.mtx.hgr.random100.rendered	satreduce	10017	327.97	1	203	6436172
dac2012_superblue11.hgr.random100	satreduce	0	3600.27	0	1	2025084
dac2012_superblue11.hgr.random100	satreduce	0	3600.24	0	21	2024384
dac2012_superblue16.hgr.random100	satreduce	0	3600.25	0	1	1132192
dac2012_superblue16.hgr.random100	satreduce	0	3600.26	0	21	1132188
dac2012_superblue16.hgr.random100	satreduce	0	3600.23	0	203	1132204
dac2012_superblue16.hgr.random100	satreduce	0	3600.22	0	1002	1132188
dac2012_superblue11.hgr.random100	satreduce	0	3600.23	0	203	2025068
dac2012_superblue11.hgr.random100	satreduce	0	3600.22	0	1002	2024348
ex19.mtx.hgr.random100	satreduce	985	0.68	1	1	21528
ex19.mtx.hgr.random100	satreduce	985	0.69	1	21	21540
ex19.mtx.hgr.random100	satreduce	985	0.68	1	203	21540
ex19.mtx.hgr.random100	satreduce	985	0.67	1	1002	21528
g7jac040sc.mtx.hgr.random100	satreduce	2960	2.18	1	1	31744
g7jac040sc.mtx.hgr.random100	satreduce	2960	2.2	1	21	31744
g7jac040sc.mtx.hgr.random100	satreduce	2960	2.21	1	203	30720
g7jac040sc.mtx.hgr.random100	satreduce	2960	2.19	1	1002	31744
dac2012_superblue6.hgr.random100	satreduce	0	3600.41	0	1	3733932
dac2012_superblue6.hgr.random100	satreduce	0	3600.38	0	1002	3733932
dac2012_superblue6.hgr.random100	satreduce	0	3600.36	0	21	3733936
dac2012_superblue6.hgr.random100	satreduce	0	3600.33	0	203	3733936
IMDB.mtx.hgr.random100	satreduce	138181	111.76	1	1	2309676
IMDB.mtx.hgr.random100	satreduce	138181	111.6	1	21	2309868
IMDB.mtx.hgr.random100	satreduce	138181	111.68	1	203	2309344
IMDB.mtx.hgr.random100	satreduce	138181	111.24	1	1002	2309676
dac2012_superblue7.hgr.random100	satreduce	0	3600.61	0	1	6033160
dac2012_superblue7.hgr.random100	satreduce	0	3600.59	0	21	6033160
dac2012_superblue7.hgr.random100	satreduce	0	3600.54	0	203	6033160
dac2012_superblue7.hgr.random100	satreduce	0	3600.54	0	1002	6033160
kron_g500-logn16.mtx.hgr.random100.rendered	satreduce	14103	498.05	1	1	15230088
lhr14.mtx.hgr.random100	satreduce	4314	0.71	1	1	25700
lhr14.mtx.hgr.random100	satreduce	4314	0.71	1	21	25704
lhr14.mtx.hgr.random100	satreduce	4314	0.7	1	203	25700
lhr14.mtx.hgr.random100	satreduce	4314	0.7	1	1002	25696
kron_g500-logn16.mtx.hgr.random100.rendered	satreduce	14103	490.95	1	21	15231364
kron_g500-logn16.mtx.hgr.random100.rendered	satreduce	14103	486.01	1	1002	15231348
kron_g500-logn16.mtx.hgr.random100.rendered	satreduce	14103	491.52	1	203	15231368
dictionary28.mtx.hgr.random100	satreduce	0	3600.02	0	1	27632
dictionary28.mtx.hgr.random100	satreduce	0	3600.02	0	21	28260
msc10848.mtx.hgr.random100	satreduce	88	2.85	1	1	115712
msc10848.mtx.hgr.random100	satreduce	88	2.88	1	21	116736
msc10848.mtx.hgr.random100	satreduce	88	2.82	1	203	116736
msc10848.mtx.hgr.random100	satreduce	88	2.88	1	1002	116736
dictionary28.mtx.hgr.random100	satreduce	0	3600.02	0	203	28260
dictionary28.mtx.hgr.random100	satreduce	0	3600.02	0	1002	27636
garon2.mtx.hgr.random100	satreduce	0	3600.01	0	1	32232
garon2.mtx.hgr.random100	satreduce	0	3600.01	0	21	32224
garon2.mtx.hgr.random100	satreduce	0	3600.01	0	203	32228
poli3.mtx.hgr.random100	satreduce	3523	0.74	1	1	18432
garon2.mtx.hgr.random100	satreduce	0	3600.01	0	1002	32228
poli3.mtx.hgr.random100	satreduce	3523	0.73	1	21	18432
poli3.mtx.hgr.random100	satreduce	3523	0.74	1	203	18432
poli3.mtx.hgr.random100	satreduce	3523	0.74	1	1002	18432
psse2.mtx.hgr.random100	satreduce	3098	0.1	1	1	8192
psse2.mtx.hgr.random100	satreduce	3098	0.11	1	21	8192
psse2.mtx.hgr.random100	satreduce	3098	0.1	1	203	8192
psse2.mtx.hgr.random100	satreduce	3098	0.1	1	1002	8192
sat14_6s11-opt.cnf.hgr.random100	satreduce	-1	3.49	0	1	26964
sat14_6s11-opt.cnf.hgr.random100	satreduce	-1	3.48	0	21	27728
sat14_6s11-opt.cnf.hgr.random100	satreduce	-1	3.5	0	203	27456
sat14_6s11-opt.cnf.hgr.random100	satreduce	-1	3.5	0	1002	26968
sat14_6s12.cnf.hgr.random100	satreduce	-1	4.04	0	1	35668
sat14_6s12.cnf.hgr.random100	satreduce	-1	4.09	0	21	34912
sat14_6s12.cnf.hgr.random100	satreduce	-1	4.07	0	203	35672
sat14_6s12.cnf.hgr.random100	satreduce	-1	4.11	0	1002	34912
sat14_6s130-opt.cnf.hgr.random100	satreduce	-1	3.89	0	1	36504
sat14_6s130-opt.cnf.hgr.random100	satreduce	-1	3.93	0	21	36500
sat14_6s130-opt.cnf.hgr.random100	satreduce	-1	3.93	0	203	36500
sat14_6s130-opt.cnf.hgr.random100	satreduce	-1	3.92	0	1002	36504
ISPD98_ibm11.hgr.random100	satreduce	0	3600.02	0	1	33864
ISPD98_ibm11.hgr.random100	satreduce	0	3600.02	0	21	33864
ISPD98_ibm11.hgr.random100	satreduce	0	3600.02	0	203	33148
ISPD98_ibm11.hgr.random100	satreduce	0	3600.02	0	1002	33152
mult_dcop_01.mtx.hgr.random100.rendered	satreduce	1540	873.63	1	1	7734736
mult_dcop_01.mtx.hgr.random100.rendered	satreduce	1540	876.06	1	21	7734736
mult_dcop_01.mtx.hgr.random100.rendered	satreduce	1540	873.04	1	203	7734672
mult_dcop_01.mtx.hgr.random100.rendered	satreduce	1540	876.27	1	1002	7734736
lp_pds_20.mtx.hgr.random100	satreduce	0	3600.5	0	1	63636
sat14_6s184.cnf.hgr.random100	satreduce	-1	4.54	0	1	35672
sat14_6s184.cnf.hgr.random100	satreduce	-1	4.6	0	21	35672
sat14_6s184.cnf.hgr.random100	satreduce	-1	4.61	0	203	35672
sat14_6s184.cnf.hgr.random100	satreduce	-1	4.55	0	1002	35672
lp_pds_20.mtx.hgr.random100	satreduce	0	3600.5	0	21	63520
lp_pds_20.mtx.hgr.random100	satreduce	0	3600.5	0	203	63768
lp_pds_20.mtx.hgr.random100	satreduce	0	3600.5	0	1002	63524
sat14_AProVE07-27.cnf.dual.hgr.random100	satreduce	-1	190.62	0	1	215276
sat14_AProVE07-27.cnf.dual.hgr.random100	satreduce	-1	191.02	0	21	215608
sat14_AProVE07-27.cnf.dual.hgr.random100	satreduce	-1	189.98	0	203	215612
sat14_AProVE07-27.cnf.dual.hgr.random100	satreduce	-1	190.35	0	1002	215176
sat14_6s130-opt.cnf.primal.hgr.random100	satreduce	0	3600.02	0	1	22528
sat14_6s130-opt.cnf.primal.hgr.random100	satreduce	0	3600.02	0	21	22528
sat14_6s130-opt.cnf.primal.hgr.random100	satreduce	0	3600.02	0	203	22528
sat14_6s130-opt.cnf.primal.hgr.random100	satreduce	0	3600.02	0	1002	22528
sat14_6s133.cnf.primal.hgr.random100	satreduce	0	3600.02	0	1	22528
