graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	struction	2057	6.97	1	1	444416
as-22july06.mtx.hgr.random100	struction	2057	6.88	1	21	444416
bips07_1998.mtx.hgr.random100	struction	5359	0.15	1	1	13312
bips07_1998.mtx.hgr.random100	struction	5359	0.12	1	21	13312
bips07_1998.mtx.hgr.random100	struction	5359	0.03	1	203	13312
bips07_1998.mtx.hgr.random100	struction	5359	0.03	1	1002	13312
as-22july06.mtx.hgr.random100	struction	2057	6.85	1	203	444416
as-22july06.mtx.hgr.random100	struction	2057	6.88	1	1002	444416
as-caida.mtx.hgr.random100	struction	7339	8.76	1	1	538624
as-caida.mtx.hgr.random100	struction	7339	8.83	1	21	538624
as-caida.mtx.hgr.random100	struction	7339	8.79	1	203	538624
as-caida.mtx.hgr.random100	struction	7339	8.79	1	1002	538624
ca-CondMat.mtx.hgr.random100	struction	4057	0.26	1	1	57344
ca-CondMat.mtx.hgr.random100	struction	4057	0.26	1	21	57344
ca-CondMat.mtx.hgr.random100	struction	4057	0.26	1	203	57344
ca-CondMat.mtx.hgr.random100	struction	4057	0.49	1	1002	57344
bloweya.mtx.hgr.random100	struction	10001	95.54	1	1	1973248
bloweya.mtx.hgr.random100	struction	10001	92.49	1	21	1973248
bloweya.mtx.hgr.random100	struction	10001	92.65	1	203	1973248
bloweya.mtx.hgr.random100	struction	10001	92.27	1	1002	1973248
Chem97Zt.mtx.hgr.random100.rendered	struction	131	1.38	1	1	267264
Chem97Zt.mtx.hgr.random100.rendered	struction	131	1.4	1	21	267264
Chem97Zt.mtx.hgr.random100.rendered	struction	131	1.36	1	203	267264
Chem97Zt.mtx.hgr.random100.rendered	struction	131	1.34	1	1002	266240
crystk02.mtx.hgr.random100.lg.metis	struction	1941959	3.69	1	1	951784
crystk02.mtx.hgr.random100.lg.metis	struction	1941959	4.11	1	21	951788
crystk02.mtx.hgr.random100.lg.metis	struction	1941959	3.65	1	203	951788
crystk02.mtx.hgr.random100.lg.metis	struction	1941959	3.72	1	1002	950460
c-64.mtx.hgr.random100	struction	22600	136.64	1	1	3047424
c-64.mtx.hgr.random100	struction	22600	135.52	1	1002	3047424
c-64.mtx.hgr.random100	struction	22600	138.19	1	21	3047424
c-64.mtx.hgr.random100	struction	22600	137.9	1	203	3047424
Chebyshev4.mtx.hgr.random100.rendered	struction	-2	259.37	0	21	0
Chebyshev4.mtx.hgr.random100.rendered	struction	-2	260.20	0	1002	0
Chebyshev4.mtx.hgr.random100.rendered	struction	-2	265.49	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	struction	-2	317.27	0	203	0
case39.mtx.hgr.random100.rendered	struction	10017	658.95	1	1002	7920640
case39.mtx.hgr.random100.rendered	struction	10017	665.03	1	203	7920640
case39.mtx.hgr.random100.rendered	struction	10017	665.04	1	21	7920640
case39.mtx.hgr.random100.rendered	struction	10017	669.56	1	1	7920640
dac2012_superblue11.hgr.random100	struction	250734	3610.71	0	1	2661792
dac2012_superblue11.hgr.random100	struction	250720	3610.73	0	21	2661792
dac2012_superblue11.hgr.random100	struction	250721	3610.65	0	203	2661796
dac2012_superblue11.hgr.random100	struction	250719	3610.64	0	1002	2661792
dac2012_superblue16.hgr.random100	struction	221375	3605.26	0	1	1633928
ex19.mtx.hgr.random100	struction	985	0.1	1	1	26624
dac2012_superblue16.hgr.random100	struction	221383	3605.02	0	21	1568148
dac2012_superblue16.hgr.random100	struction	221396	3605.01	0	203	1600620
dac2012_superblue16.hgr.random100	struction	221407	3604.99	0	1002	1568260
ex19.mtx.hgr.random100	struction	985	0.1	1	21	26624
ex19.mtx.hgr.random100	struction	985	0.1	1	203	26624
ex19.mtx.hgr.random100	struction	985	0.1	1	1002	26624
g7jac040sc.mtx.hgr.random100	struction	2960	0.78	1	1	24576
g7jac040sc.mtx.hgr.random100	struction	2960	0.78	1	21	24576
g7jac040sc.mtx.hgr.random100	struction	2960	0.78	1	203	24576
g7jac040sc.mtx.hgr.random100	struction	2960	0.78	1	1002	24576
dac2012_superblue6.hgr.random100	struction	230088	3721.05	0	1	3733816
dac2012_superblue6.hgr.random100	struction	230083	3720.89	0	21	3733932
dac2012_superblue6.hgr.random100	struction	230091	3720.86	0	203	3733932
dac2012_superblue6.hgr.random100	struction	230087	3720.95	0	1002	3733788
IMDB.mtx.hgr.random100	struction	138181	31.2	1	1	2528848
IMDB.mtx.hgr.random100	struction	138181	31.07	1	21	2528852
IMDB.mtx.hgr.random100	struction	138181	31.21	1	203	2528852
IMDB.mtx.hgr.random100	struction	138181	31	1	1002	2528848
