graph	algo	size	time	opt	seed	mem
bips07_1998.mtx.hgr.random100	vc_solver	5359	1.15	1	1	8192
bips07_1998.mtx.hgr.random100	vc_solver	5359	0.24	1	21	8192
bips07_1998.mtx.hgr.random100	vc_solver	5359	0.07	1	203	8192
bips07_1998.mtx.hgr.random100	vc_solver	5359	0.07	1	1002	8192
as-22july06.mtx.hgr.random100	vc_solver	2057	12.5	1	1	345144
as-22july06.mtx.hgr.random100	vc_solver	2057	12.39	1	21	345144
as-22july06.mtx.hgr.random100	vc_solver	2057	12.36	1	203	344640
as-22july06.mtx.hgr.random100	vc_solver	2057	12.46	1	1002	344424
ca-CondMat.mtx.hgr.random100	vc_solver	4057	0.83	1	1	46188
as-caida.mtx.hgr.random100	vc_solver	7339	16.79	1	1	434880
ca-CondMat.mtx.hgr.random100	vc_solver	4057	0.82	1	21	46172
as-caida.mtx.hgr.random100	vc_solver	7339	17.1	1	21	434880
ca-CondMat.mtx.hgr.random100	vc_solver	4057	0.82	1	203	46188
as-caida.mtx.hgr.random100	vc_solver	7339	16.81	1	203	434880
ca-CondMat.mtx.hgr.random100	vc_solver	4057	0.81	1	1002	46200
as-caida.mtx.hgr.random100	vc_solver	7339	16.95	1	1002	434880
bloweya.mtx.hgr.random100	vc_solver	10001	152.75	1	1	1511040
bloweya.mtx.hgr.random100	vc_solver	10001	152.63	1	21	1511036
bloweya.mtx.hgr.random100	vc_solver	10001	152.59	1	203	1510520
bloweya.mtx.hgr.random100	vc_solver	10001	152.61	1	1002	1511040
Chem97Zt.mtx.hgr.random100.rendered	vc_solver	131	4.34	1	1	221424
Chem97Zt.mtx.hgr.random100.rendered	vc_solver	131	4.38	1	21	221428
Chem97Zt.mtx.hgr.random100.rendered	vc_solver	131	4.38	1	203	221168
Chem97Zt.mtx.hgr.random100.rendered	vc_solver	131	4.36	1	1002	220940
Chebyshev4.mtx.hgr.random100.rendered	vc_solver	-2	257.90	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	vc_solver	-2	257.04	0	21	0
Chebyshev4.mtx.hgr.random100.rendered	vc_solver	-2	257.62	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	vc_solver	-2	259.38	0	1002	0
crystk02.mtx.hgr.random100.lg.metis	vc_solver	1941959	7.13	1	1	591144
crystk02.mtx.hgr.random100.lg.metis	vc_solver	1941959	7.19	1	21	591788
crystk02.mtx.hgr.random100.lg.metis	vc_solver	1941959	7.18	1	203	591624
crystk02.mtx.hgr.random100.lg.metis	vc_solver	1941959	7.24	1	1002	591788
c-64.mtx.hgr.random100	vc_solver	22600	215.83	1	1	2523308
c-64.mtx.hgr.random100	vc_solver	22600	216.55	1	21	2523292
c-64.mtx.hgr.random100	vc_solver	22600	216.24	1	203	2523708
c-64.mtx.hgr.random100	vc_solver	22600	217.31	1	1002	2523148
case39.mtx.hgr.random100.rendered	vc_solver	10017	1091.1	1	1002	5945012
case39.mtx.hgr.random100.rendered	vc_solver	10017	1083.11	1	21	5945012
case39.mtx.hgr.random100.rendered	vc_solver	10017	1092.07	1	1	5945296
case39.mtx.hgr.random100.rendered	vc_solver	10017	1087.2	1	203	5944800
dac2012_superblue11.hgr.random100	vc_solver	0	3720.38	0	1	2024628
dac2012_superblue16.hgr.random100	vc_solver	0	3720.33	0	1	1132192
dac2012_superblue16.hgr.random100	vc_solver	0	3720.29	0	21	1132192
dac2012_superblue16.hgr.random100	vc_solver	0	3720.43	0	203	1131976
dac2012_superblue16.hgr.random100	vc_solver	0	3720.26	0	1002	1132192
ex19.mtx.hgr.random100	vc_solver	985	0.3	1	1	21528
ex19.mtx.hgr.random100	vc_solver	985	0.29	1	21	21532
dac2012_superblue11.hgr.random100	vc_solver	0	3720.3	0	21	2024168
ex19.mtx.hgr.random100	vc_solver	985	0.3	1	203	21536
ex19.mtx.hgr.random100	vc_solver	985	0.3	1	1002	21540
g7jac040sc.mtx.hgr.random100	vc_solver	2960	0.23	1	1	15360
g7jac040sc.mtx.hgr.random100	vc_solver	2960	0.23	1	21	15360
g7jac040sc.mtx.hgr.random100	vc_solver	2960	0.22	1	203	15360
g7jac040sc.mtx.hgr.random100	vc_solver	2960	0.23	1	1002	14380
dac2012_superblue11.hgr.random100	vc_solver	0	3720.26	0	203	2025084
dac2012_superblue11.hgr.random100	vc_solver	0	3720.25	0	1002	2025088
dictionary28.mtx.hgr.random100	vc_solver	29631	83.77	1	1	553232
dictionary28.mtx.hgr.random100	vc_solver	29631	84.05	1	21	553912
dictionary28.mtx.hgr.random100	vc_solver	29631	83.95	1	203	553928
dictionary28.mtx.hgr.random100	vc_solver	29631	84.13	1	1002	553900
dac2012_superblue6.hgr.random100	vc_solver	0	3720.67	0	1	3733788
dac2012_superblue6.hgr.random100	vc_solver	0	3720.59	0	203	3733916
dac2012_superblue6.hgr.random100	vc_solver	0	3720.54	0	21	3733788
dac2012_superblue6.hgr.random100	vc_solver	0	3720.54	0	1002	3733936
IMDB.mtx.hgr.random100	vc_solver	138181	67.64	1	1	2309676
IMDB.mtx.hgr.random100	vc_solver	138181	67.11	1	21	2309364
IMDB.mtx.hgr.random100	vc_solver	138181	66.42	1	1002	2309872
IMDB.mtx.hgr.random100	vc_solver	138181	68.06	1	203	2309360
dac2012_superblue7.hgr.random100	vc_solver	0	3721.2	0	1	6033160
lhr14.mtx.hgr.random100	vc_solver	4314	0.35	1	1	25704
lhr14.mtx.hgr.random100	vc_solver	4314	0.35	1	21	25704
lhr14.mtx.hgr.random100	vc_solver	4314	0.35	1	203	25700
lhr14.mtx.hgr.random100	vc_solver	4314	0.35	1	1002	25696
dac2012_superblue7.hgr.random100	vc_solver	0	3721.24	0	21	6033160
dac2012_superblue7.hgr.random100	vc_solver	0	3721.19	0	203	6033160
dac2012_superblue7.hgr.random100	vc_solver	0	3721.19	0	1002	6033160
garon2.mtx.hgr.random100	vc_solver	0	3720.01	0	1	32232
garon2.mtx.hgr.random100	vc_solver	0	3720.01	0	21	32232
msc10848.mtx.hgr.random100	vc_solver	88	2.15	1	1	115500
msc10848.mtx.hgr.random100	vc_solver	88	2.13	1	21	115500
msc10848.mtx.hgr.random100	vc_solver	88	2.17	1	203	115500
msc10848.mtx.hgr.random100	vc_solver	88	2.16	1	1002	115496
garon2.mtx.hgr.random100	vc_solver	0	3720.01	0	203	32232
garon2.mtx.hgr.random100	vc_solver	0	3720.01	0	1002	32224
ISPD98_ibm11.hgr.random100	vc_solver	0	3720.69	0	21	33148
ISPD98_ibm11.hgr.random100	vc_solver	0	3720.73	0	1	33148
ISPD98_ibm11.hgr.random100	vc_solver	0	3720.23	0	203	33132
ISPD98_ibm11.hgr.random100	vc_solver	0	3720.22	0	1002	33148
poli3.mtx.hgr.random100	vc_solver	3523	0.24	1	1	17492
poli3.mtx.hgr.random100	vc_solver	3523	0.24	1	21	17492
poli3.mtx.hgr.random100	vc_solver	3523	0.24	1	203	17276
poli3.mtx.hgr.random100	vc_solver	3523	0.24	1	1002	17488
psse2.mtx.hgr.random100	vc_solver	3098	0.05	1	1	7168
psse2.mtx.hgr.random100	vc_solver	3098	0.05	1	21	7168
psse2.mtx.hgr.random100	vc_solver	3098	0.05	1	203	7168
psse2.mtx.hgr.random100	vc_solver	3098	0.05	1	1002	7168
sat14_6s11-opt.cnf.hgr.random100	vc_solver	30343	0.34	1	1	22952
sat14_6s11-opt.cnf.hgr.random100	vc_solver	30343	0.34	1	21	22948
sat14_6s11-opt.cnf.hgr.random100	vc_solver	30343	0.34	1	203	22948
sat14_6s11-opt.cnf.hgr.random100	vc_solver	30343	0.33	1	1002	22528
sat14_6s12.cnf.hgr.random100	vc_solver	31353	0.57	1	1	22528
sat14_6s12.cnf.hgr.random100	vc_solver	31353	0.56	1	21	23112
sat14_6s12.cnf.hgr.random100	vc_solver	31353	0.57	1	203	23324
sat14_6s12.cnf.hgr.random100	vc_solver	31353	0.57	1	1002	23324
sat14_6s130-opt.cnf.hgr.random100	vc_solver	45782	0.44	1	1	32496
sat14_6s130-opt.cnf.hgr.random100	vc_solver	45782	0.44	1	21	32500
sat14_6s130-opt.cnf.hgr.random100	vc_solver	45782	0.45	1	203	32500
sat14_6s130-opt.cnf.hgr.random100	vc_solver	45782	0.45	1	1002	32496
sat14_6s130-opt.cnf.primal.hgr.random100	vc_solver	18727	1.04	1	1	22528
sat14_6s130-opt.cnf.primal.hgr.random100	vc_solver	18727	1.05	1	21	22528
sat14_6s130-opt.cnf.primal.hgr.random100	vc_solver	18727	1.05	1	203	22528
sat14_6s130-opt.cnf.primal.hgr.random100	vc_solver	18727	1.05	1	1002	22528
sat14_6s133.cnf.primal.hgr.random100	vc_solver	18577	3.3	1	1	24576
sat14_6s133.cnf.primal.hgr.random100	vc_solver	18577	3.31	1	21	24576
sat14_6s133.cnf.primal.hgr.random100	vc_solver	18577	3.32	1	203	24576
sat14_6s133.cnf.primal.hgr.random100	vc_solver	18577	3.33	1	1002	24576
kron_g500-logn16.mtx.hgr.random100.rendered	vc_solver	14103	3381.58	1	1	15231364
sat14_6s184.cnf.hgr.random100	vc_solver	30630	0.59	1	1	23016
sat14_6s184.cnf.hgr.random100	vc_solver	30630	0.57	1	21	23016
sat14_6s184.cnf.hgr.random100	vc_solver	30630	0.58	1	203	23012
sat14_6s184.cnf.hgr.random100	vc_solver	30630	0.58	1	1002	23012
