graph	algo	size	time	opt	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	ILP	2541	3600.02	0	1	559936
as-22july06.mtx.hgr.random100	ILP	2057	0.109047	1	1	36712
as-caida.mtx.hgr.random100	ILP	7339	0.127235	1	1	41864
BenElechi1.mtx.hgr.random100	ILP	4453	3600.34	0	1	1233356
bips07_1998.mtx.hgr.random100	ILP	5359	0.141837	1	1	29696
bloweya.mtx.hgr.random100	ILP	10001	0.160489	1	1	49016
c-64.mtx.hgr.random100	ILP	22600	0.70567	1	1	120464
ca-CondMat.mtx.hgr.random100	ILP	4057	0.223926	1	1	47592
case39.mtx.hgr.random100.rendered	ILP	10017	0.77931	1	1	148396
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	4.28644	1	1	568628
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0757859	1	1	32540
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	72.7158	1	1	1726280
dac2012_superblue11.hgr.random100	ILP	260445	3600.55	0	1	3340848
dac2012_superblue12.hgr.random100	ILP	281836	3600.59	0	1	3707732
dac2012_superblue14.hgr.random100	ILP	182604	3600.6	0	1	3667672
dac2012_superblue16.hgr.random100	ILP	221950	3600.44	0	1	5337692
dac2012_superblue2.hgr.random100	ILP	294361	3600.45	0	1	4102340
dac2012_superblue3.hgr.random100	ILP	208112	3600.47	0	1	4377472
dac2012_superblue6.hgr.random100	ILP	249685	3600.73	0	1	6462248
dac2012_superblue7.hgr.random100	ILP	292995	3600.78	0	1	4584300
dac2012_superblue9.hgr.random100	ILP	189169	3600.34	0	1	3809588
dictionary28.mtx.hgr.random100	ILP	29631	4.99593	1	1	78440
ex19.mtx.hgr.random100	ILP	985	0.167077	1	1	40960
fd18.mtx.hgr.random100	ILP	4104	3600.02	0	1	845972
g7jac040sc.mtx.hgr.random100	ILP	2960	0.630179	1	1	52064
garon2.mtx.hgr.random100	ILP	400	1.01117	1	1	53248
IMDB.mtx.hgr.random100	ILP	138181	6.32663	1	1	897736
ISPD98_ibm11.hgr.random100	ILP	19660	2699.76	1	1	977196
ISPD98_ibm12.hgr.random100	ILP	19216	3600.06	0	1	732440
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	4.1157	1	1	569808
lhr14.mtx.hgr.random100	ILP	4314	0.266711	1	1	51200
lp_pds_20.mtx.hgr.random100	ILP	14743	0.867963	1	1	106592
m14b.mtx.hgr.random100	ILP	8710	3600.24	0	1	981496
msc10848.mtx.hgr.random100	ILP	88	0.689631	1	1	117624
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.196775	1	1	45932
NotreDame_actors.mtx.hgr.random100	ILP	20684	3600.1	0	1	647460
pdb1HYS.mtx.hgr.random100	ILP	334	3600.35	0	1	929940
poli3.mtx.hgr.random100	ILP	3523	0.0662988	1	1	23552
psse2.mtx.hgr.random100	ILP	3098	0.152592	1	1	36484
rgg_n_2_18_s0.mtx.hgr.random100	ILP	19200	3600.26	0	1	776908
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	5.62021	1	1	363388
sat14_6s12.cnf.hgr.random100	ILP	31353	14.6337	1	1	391584
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	69.138	1	1	595020
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	32.8862	1	1	349028
sat14_6s133.cnf.primal.hgr.random100	ILP	18577	5.51189	1	1	260888
sat14_6s16.cnf.primal.hgr.random100	ILP	11807	3.98287	1	1	177868
sat14_6s184.cnf.hgr.random100	ILP	30630	16.1968	1	1	382924
sat14_ACG-20-10p1.cnf.dual.hgr.random100	ILP	176389	3600.51	0	1	4591032
sat14_AProVE07-27.cnf.dual.hgr.random100	ILP	3165	5.5081	1	1	96932
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	ILP	7086	16.7509	1	1	624820
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	ILP	4594	89.2442	1	1	515716
sat14_bob12m09-opt.cnf.dual.hgr.random100	ILP	24209	18.2051	1	1	301816
sat14_dated-10-11-u.cnf.hgr.random100	ILP	90537	124.861	1	1	617620
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.32	0	1	1179560
sat14_E02F22.cnf.primal.hgr.random100	ILP	594	185.926	1	1	3468896
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	ILP	91911	546.084	1	1	1663988
