graph	algo	size	time	opt	seed	mem
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	1	826576
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	21	826576
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.12	0	203	825008
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	1002	826384
as-22july06.mtx.hgr.random100	ILP	2057	0.0258945	1	1	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.0193675	1	21	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.019665	1	203	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.0196793	1	1002	11264
as-caida.mtx.hgr.random100	ILP	7339	0.0194212	1	1	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0231968	1	21	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0235145	1	203	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0193717	1	1002	13312
bips07_1998.mtx.hgr.random100	ILP	5359	0.0376057	1	1	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0237645	1	21	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0287462	1	203	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0306492	1	1002	18432
bloweya.mtx.hgr.random100	ILP	10001	0.355772	1	1	12288
bloweya.mtx.hgr.random100	ILP	10001	0.347189	1	21	12288
bloweya.mtx.hgr.random100	ILP	10001	0.350493	1	203	12288
bloweya.mtx.hgr.random100	ILP	10001	0.348611	1	1002	12288
c-64.mtx.hgr.random100	ILP	22600	4.19492	1	1	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0383285	1	1	13312
c-64.mtx.hgr.random100	ILP	22600	4.31504	1	21	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0336771	1	21	13312
c-64.mtx.hgr.random100	ILP	22600	4.28292	1	203	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0332409	1	203	13312
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0332791	1	1002	13312
c-64.mtx.hgr.random100	ILP	22600	4.2503	1	1002	23552
case39.mtx.hgr.random100.rendered	ILP	10017	0.278122	1	1	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.277932	1	21	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.265496	1	203	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.275991	1	1002	25600
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0746938	1	1	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0747697	1	21	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0740417	1	203	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0756655	1	1002	78848
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.00725983	1	1	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.00706925	1	21	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0131095	1	203	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.00707185	1	1002	10240
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.60753	1	1	418816
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.53377	1	21	418816
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.35717	1	203	419840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.47281	1	1002	419840
dac2012_superblue16.hgr.random100	ILP	221950	100.308	1	1	894588
dac2012_superblue16.hgr.random100	ILP	221950	100.466	1	21	896416
dac2012_superblue16.hgr.random100	ILP	221950	100.449	1	203	896360
dac2012_superblue16.hgr.random100	ILP	221950	100.42	1	1002	895892
dictionary28.mtx.hgr.random100	ILP	29631	2.30137	1	1	48128
dictionary28.mtx.hgr.random100	ILP	29631	2.29707	1	21	48128
ex19.mtx.hgr.random100	ILP	985	0.015663	1	1	9216
dictionary28.mtx.hgr.random100	ILP	29631	2.29498	1	203	48128
ex19.mtx.hgr.random100	ILP	985	0.0112752	1	21	9216
dictionary28.mtx.hgr.random100	ILP	29631	2.28668	1	1002	48128
ex19.mtx.hgr.random100	ILP	985	0.0108147	1	203	9216
ex19.mtx.hgr.random100	ILP	985	0.0115033	1	1002	9216
g7jac040sc.mtx.hgr.random100	ILP	2960	0.190578	1	1	27380
g7jac040sc.mtx.hgr.random100	ILP	2960	0.188655	1	21	27288
g7jac040sc.mtx.hgr.random100	ILP	2960	0.188606	1	203	27288
g7jac040sc.mtx.hgr.random100	ILP	2960	0.188571	1	1002	27288
dac2012_superblue7.hgr.random100	ILP	292995	105.184	1	1	1248820
garon2.mtx.hgr.random100	ILP	400	0.731161	1	1	28672
dac2012_superblue7.hgr.random100	ILP	292995	105.424	1	21	1248488
garon2.mtx.hgr.random100	ILP	400	0.729497	1	21	28672
dac2012_superblue7.hgr.random100	ILP	292995	105.202	1	203	1248684
garon2.mtx.hgr.random100	ILP	400	0.725478	1	203	28672
dac2012_superblue7.hgr.random100	ILP	292995	105.086	1	1002	1248436
garon2.mtx.hgr.random100	ILP	400	0.723002	1	1002	28672
IMDB.mtx.hgr.random100	ILP	138181	2.28831	1	1	215040
IMDB.mtx.hgr.random100	ILP	138181	2.32061	1	21	215040
IMDB.mtx.hgr.random100	ILP	138181	2.28797	1	203	215040
IMDB.mtx.hgr.random100	ILP	138181	2.35468	1	1002	215040
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.367581	1	1	72704
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.365713	1	21	72704
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.367388	1	203	72704
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.3631	1	1002	72704
lhr14.mtx.hgr.random100	ILP	4314	0.117354	1	1	20480
lhr14.mtx.hgr.random100	ILP	4314	0.112017	1	21	20480
lhr14.mtx.hgr.random100	ILP	4314	0.111462	1	203	20480
lhr14.mtx.hgr.random100	ILP	4314	0.112577	1	1002	20480
lp_pds_20.mtx.hgr.random100	ILP	14743	0.640867	1	1	97336
lp_pds_20.mtx.hgr.random100	ILP	14743	0.642769	1	21	97612
lp_pds_20.mtx.hgr.random100	ILP	14743	0.639599	1	203	97852
lp_pds_20.mtx.hgr.random100	ILP	14743	0.64066	1	1002	97904
msc10848.mtx.hgr.random100	ILP	88	0.0913683	1	1	31744
msc10848.mtx.hgr.random100	ILP	88	0.0922059	1	21	31744
msc10848.mtx.hgr.random100	ILP	88	0.0938461	1	203	31744
msc10848.mtx.hgr.random100	ILP	88	0.0916353	1	1002	31744
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0532587	1	1	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0502636	1	21	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0470269	1	203	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.050208	1	1002	13312
poli3.mtx.hgr.random100	ILP	3523	0.0119507	1	1	10240
poli3.mtx.hgr.random100	ILP	3523	0.0146026	1	21	10240
poli3.mtx.hgr.random100	ILP	3523	0.0119335	1	203	10240
poli3.mtx.hgr.random100	ILP	3523	0.0122242	1	1002	10240
psse2.mtx.hgr.random100	ILP	3098	0.0300204	1	1	19456
psse2.mtx.hgr.random100	ILP	3098	0.0280581	1	21	19456
psse2.mtx.hgr.random100	ILP	3098	0.0265207	1	203	19456
psse2.mtx.hgr.random100	ILP	3098	0.0266125	1	1002	19456
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.190868	1	1	46080
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.19251	1	21	46080
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.19074	1	203	45056
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.189797	1	1002	46080
sat14_6s12.cnf.hgr.random100	ILP	31353	0.678452	1	1	70680
sat14_6s12.cnf.hgr.random100	ILP	31353	0.681894	1	21	71256
sat14_6s12.cnf.hgr.random100	ILP	31353	0.679917	1	203	70400
sat14_6s12.cnf.hgr.random100	ILP	31353	0.677667	1	1002	70584
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	0.309942	1	1	59216
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	0.309114	1	21	59216
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	0.308966	1	203	59212
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	0.310579	1	1002	59220
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	2.87346	1	1	134860
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	2.89418	1	21	134732
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	2.88926	1	203	134860
sat14_6s133.cnf.primal.hgr.random100	ILP	18577	1.05776	1	1	105616
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	2.88937	1	1002	134732
