graph	algo	size	time	opt	seed	mem
c-64.mtx.hgr.random100	ILP	0	3600	0	1	0
c-64.mtx.hgr.random100	ILP	0	3600	0	21	0
c-64.mtx.hgr.random100	ILP	0	3600	0	203	0
c-64.mtx.hgr.random100	ILP	0	3600	0	1002	0
dac2012_superblue6.hgr.random100	ILP	0	3600	0	1	0
dac2012_superblue6.hgr.random100	ILP	0	3600	0	21	0
dac2012_superblue6.hgr.random100	ILP	0	3600	0	203	0
dac2012_superblue6.hgr.random100	ILP	0	3600	0	1002	0
case39.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
case39.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
case39.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
case39.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
dac2012_superblue7.hgr.random100	ILP	0	3600	0	1	0
dac2012_superblue7.hgr.random100	ILP	0	3600	0	21	0
dac2012_superblue7.hgr.random100	ILP	0	3600	0	1002	0
dac2012_superblue7.hgr.random100	ILP	0	3600	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
mult_dcop_01.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
mult_dcop_01.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
mult_dcop_01.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
mult_dcop_01.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	ILP	0	3600	0	1	0
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	ILP	0	3600	0	21	0
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	ILP	0	3600	0	203	0
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	ILP	0	3600	0	1002	0
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	3603.81	0	1	14797700
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	3603.74	0	21	14798448
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	3603.79	0	203	14799228
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	3603.79	0	1002	14798132
dac2012_superblue11.hgr.random100	ILP	260444	3607.48	0	1	23230440
dac2012_superblue11.hgr.random100	ILP	260444	3607.61	0	21	23231172
dac2012_superblue11.hgr.random100	ILP	260444	3607.83	0	203	23232272
dac2012_superblue11.hgr.random100	ILP	260444	3607.77	0	1002	23231252
dac2012_superblue16.hgr.random100	ILP	221950	3604.95	0	1	23049352
dac2012_superblue16.hgr.random100	ILP	221950	3604.95	0	21	23050732
dac2012_superblue16.hgr.random100	ILP	221950	3605.01	0	203	23050352
dac2012_superblue16.hgr.random100	ILP	221950	3605.04	0	1002	23050060
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	ILP	4594	3610.44	0	1	30784092
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	ILP	4594	3610.39	0	21	30784396
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	ILP	4594	3610.44	0	203	30782980
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	ILP	4594	3610.42	0	1002	30784716
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132210	3600.38	0	1	1596544
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132210	3600.39	0	21	1597204
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132210	3600.37	0	203	1598288
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132210	3600.42	0	1002	1597796
sat14_UCG-15-10p1.cnf.primal.hgr.random100	ILP	39543	3600.32	0	1	2645056
sat14_UCG-15-10p1.cnf.primal.hgr.random100	ILP	39543	3600.32	0	21	2644596
sat14_UCG-15-10p1.cnf.primal.hgr.random100	ILP	39543	3600.41	0	203	2805772
sat14_UCG-15-10p1.cnf.primal.hgr.random100	ILP	39543	3600.31	0	1002	2540956
shermanACb.mtx.hgr.random100.rendered	ILP	1876	3616.83	0	1	32407764
shermanACb.mtx.hgr.random100.rendered	ILP	1876	3616.8	0	21	32406568
shermanACb.mtx.hgr.random100.rendered	ILP	1876	3616.24	0	203	32409248
shermanACb.mtx.hgr.random100.rendered	ILP	1876	3615.72	0	1002	32409336
bips07_1998.mtx.hgr.random100	ILP	5359	0.293995	1	1	54268
bips07_1998.mtx.hgr.random100	ILP	5359	0.285413	1	21	53564
bips07_1998.mtx.hgr.random100	ILP	5359	0.280602	1	203	54268
bips07_1998.mtx.hgr.random100	ILP	5359	0.280271	1	1002	54268
ca-CondMat.mtx.hgr.random100	ILP	4057	7.35535	1	1	567228
ca-CondMat.mtx.hgr.random100	ILP	4057	7.32051	1	21	567192
ca-CondMat.mtx.hgr.random100	ILP	4057	7.33138	1	203	566712
ca-CondMat.mtx.hgr.random100	ILP	4057	7.34004	1	1002	566940
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	16.582	1	1	3053452
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	16.6427	1	21	3053716
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	16.7018	1	203	3053996
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	16.59	1	1002	3053292
as-22july06.mtx.hgr.random100	ILP	2057	74.9038	1	1	5190928
as-22july06.mtx.hgr.random100	ILP	2057	74.6365	1	21	5191224
as-22july06.mtx.hgr.random100	ILP	2057	74.4254	1	203	5191380
as-22july06.mtx.hgr.random100	ILP	2057	74.4545	1	1002	5190928
ex19.mtx.hgr.random100	ILP	985	1.45368	1	1	243972
ex19.mtx.hgr.random100	ILP	985	1.46043	1	21	243976
ex19.mtx.hgr.random100	ILP	985	1.43976	1	203	243712
ex19.mtx.hgr.random100	ILP	985	1.42684	1	1002	243620
as-caida.mtx.hgr.random100	ILP	7339	84.734	1	1	6313152
as-caida.mtx.hgr.random100	ILP	7339	84.8125	1	21	6313052
as-caida.mtx.hgr.random100	ILP	7339	84.3767	1	203	6313052
g7jac040sc.mtx.hgr.random100	ILP	2960	11.2885	1	1	206212
