graph	algo	size	time	opt	seed	mem
as-22july06.mtx.hgr.random100	ILP	2057	0.0227245	1	1	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.0194581	1	21	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.0193987	1	203	11264
as-22july06.mtx.hgr.random100	ILP	2057	0.0192767	1	1002	11264
as-caida.mtx.hgr.random100	ILP	7339	0.0274592	1	1	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0233286	1	21	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0234434	1	203	13312
as-caida.mtx.hgr.random100	ILP	7339	0.0235176	1	1002	13312
bips07_1998.mtx.hgr.random100	ILP	5359	0.0373155	1	1	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0307368	1	21	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0237591	1	203	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0307177	1	1002	18432
bloweya.mtx.hgr.random100	ILP	10001	0.347681	1	1	12288
bloweya.mtx.hgr.random100	ILP	10001	0.352219	1	21	12288
bloweya.mtx.hgr.random100	ILP	10001	0.349676	1	203	12288
bloweya.mtx.hgr.random100	ILP	10001	0.343498	1	1002	12288
c-64.mtx.hgr.random100	ILP	22600	4.09975	1	1	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0381138	1	1	13312
c-64.mtx.hgr.random100	ILP	22600	4.08428	1	21	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0333401	1	21	13312
c-64.mtx.hgr.random100	ILP	22600	4.18531	1	203	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0325069	1	203	13312
c-64.mtx.hgr.random100	ILP	22600	4.43243	1	1002	23552
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0313255	1	1002	13312
case39.mtx.hgr.random100.rendered	ILP	10017	0.30614	1	1	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.275441	1	21	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.279903	1	203	25600
case39.mtx.hgr.random100.rendered	ILP	10017	0.303323	1	1002	25600
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0752279	1	1	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0761972	1	21	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0743	1	203	78848
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0742696	1	1002	78848
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0139445	1	1	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0131593	1	21	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0130251	1	203	10240
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0132385	1	1002	10240
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.43159	1	1	419840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.40818	1	21	419840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.37812	1	203	419840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	7.39083	1	1002	419840
dac2012_superblue16.hgr.random100	ILP	221950	80.5938	1	1	787236
dac2012_superblue16.hgr.random100	ILP	221950	80.5163	1	21	788308
dac2012_superblue16.hgr.random100	ILP	221950	80.6062	1	203	788308
dac2012_superblue16.hgr.random100	ILP	221950	80.4761	1	1002	788312
dictionary28.mtx.hgr.random100	ILP	29631	2.00082	1	1	52060
dictionary28.mtx.hgr.random100	ILP	29631	1.98857	1	21	52060
dictionary28.mtx.hgr.random100	ILP	29631	1.98011	1	203	51036
ex19.mtx.hgr.random100	ILP	985	0.014065	1	1	9216
dictionary28.mtx.hgr.random100	ILP	29631	1.98727	1	1002	52060
ex19.mtx.hgr.random100	ILP	985	0.0115191	1	21	9216
ex19.mtx.hgr.random100	ILP	985	0.011713	1	203	9216
ex19.mtx.hgr.random100	ILP	985	0.0117127	1	1002	9216
g7jac040sc.mtx.hgr.random100	ILP	2960	0.198448	1	1	27468
g7jac040sc.mtx.hgr.random100	ILP	2960	0.197801	1	21	27468
g7jac040sc.mtx.hgr.random100	ILP	2960	0.196895	1	203	27592
g7jac040sc.mtx.hgr.random100	ILP	2960	0.197083	1	1002	27468
garon2.mtx.hgr.random100	ILP	400	0.927441	1	1	39900
garon2.mtx.hgr.random100	ILP	400	0.926368	1	21	39896
garon2.mtx.hgr.random100	ILP	400	0.928471	1	203	39796
garon2.mtx.hgr.random100	ILP	400	0.92692	1	1002	40016
IMDB.mtx.hgr.random100	ILP	138181	2.33966	1	1	215040
IMDB.mtx.hgr.random100	ILP	138181	2.3365	1	21	215040
IMDB.mtx.hgr.random100	ILP	138181	2.43217	1	203	215040
IMDB.mtx.hgr.random100	ILP	138181	2.69515	1	1002	215040
dac2012_superblue7.hgr.random100	ILP	292995	125.539	1	1	3452240
dac2012_superblue7.hgr.random100	ILP	292995	125.488	1	21	3452116
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.374067	1	1	72704
dac2012_superblue7.hgr.random100	ILP	292995	125.533	1	203	3452244
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.369804	1	21	72704
dac2012_superblue7.hgr.random100	ILP	292995	125.426	1	1002	3452168
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.372084	1	203	72704
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.365395	1	1002	72704
lhr14.mtx.hgr.random100	ILP	4314	0.116366	1	1	20480
lhr14.mtx.hgr.random100	ILP	4314	0.111882	1	21	20480
lhr14.mtx.hgr.random100	ILP	4314	0.114896	1	203	20480
lhr14.mtx.hgr.random100	ILP	4314	0.112174	1	1002	20480
lp_pds_20.mtx.hgr.random100	ILP	14743	2.03233	1	1	357500
lp_pds_20.mtx.hgr.random100	ILP	14743	2.02548	1	21	357404
lp_pds_20.mtx.hgr.random100	ILP	14743	2.03249	1	203	356104
msc10848.mtx.hgr.random100	ILP	88	0.0939133	1	1	31744
lp_pds_20.mtx.hgr.random100	ILP	14743	2.035	1	1002	357416
msc10848.mtx.hgr.random100	ILP	88	0.0929716	1	21	31744
msc10848.mtx.hgr.random100	ILP	88	0.0934841	1	203	31744
msc10848.mtx.hgr.random100	ILP	88	0.0938373	1	1002	31744
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0481297	1	1	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0497986	1	21	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0503053	1	203	13312
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0501456	1	1002	13312
poli3.mtx.hgr.random100	ILP	3523	0.0130686	1	1	10240
poli3.mtx.hgr.random100	ILP	3523	0.0119604	1	21	10240
poli3.mtx.hgr.random100	ILP	3523	0.00647556	1	203	10240
poli3.mtx.hgr.random100	ILP	3523	0.0119497	1	1002	10240
psse2.mtx.hgr.random100	ILP	3098	0.0301722	1	1	19456
psse2.mtx.hgr.random100	ILP	3098	0.026847	1	21	19456
psse2.mtx.hgr.random100	ILP	3098	0.0217011	1	203	19456
psse2.mtx.hgr.random100	ILP	3098	0.0272106	1	1002	19456
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.198619	1	1	46080
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.197341	1	21	46080
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.199281	1	203	46080
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	0.198297	1	1002	46080
sat14_6s12.cnf.hgr.random100	ILP	31353	0.648455	1	1	71096
