graph	algo	size	time	opt	seed	mem
Chebyshev4.mtx.hgr.random100.rendered	ILP	-2	294.95	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	-2	294.93	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	-2	335.18	0	21	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	-2	400.30	0	1002	0
dac2012_superblue7.hgr.random100	ILP	-2	422.48	0	1	0
dac2012_superblue7.hgr.random100	ILP	-2	423.84	0	21	0
dac2012_superblue7.hgr.random100	ILP	-2	422.82	0	1002	0
dac2012_superblue7.hgr.random100	ILP	-2	425.03	0	203	0
dac2012_superblue6.hgr.random100	ILP	249685	3607.82	0	1	22186996
dac2012_superblue6.hgr.random100	ILP	249685	3607.9	0	21	22187760
dac2012_superblue6.hgr.random100	ILP	249685	3607.99	0	203	22187920
dac2012_superblue6.hgr.random100	ILP	249685	3608.01	0	1002	22186400
as-22july06.mtx.hgr.random100	ILP	2057	1.10737	1	1	183296
as-22july06.mtx.hgr.random100	ILP	2057	1.102	1	21	183296
as-22july06.mtx.hgr.random100	ILP	2057	1.10225	1	203	183296
as-22july06.mtx.hgr.random100	ILP	2057	1.10486	1	1002	183296
as-caida.mtx.hgr.random100	ILP	7339	1.40569	1	1	221184
as-caida.mtx.hgr.random100	ILP	7339	1.40896	1	21	221184
as-caida.mtx.hgr.random100	ILP	7339	1.41149	1	203	221184
bips07_1998.mtx.hgr.random100	ILP	5359	0.03689	1	1	18432
as-caida.mtx.hgr.random100	ILP	7339	1.39832	1	1002	221184
bips07_1998.mtx.hgr.random100	ILP	5359	0.0310608	1	21	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.031338	1	203	18432
bips07_1998.mtx.hgr.random100	ILP	5359	0.0312691	1	1002	18432
ca-CondMat.mtx.hgr.random100	ILP	4057	0.181028	1	1	28672
ca-CondMat.mtx.hgr.random100	ILP	4057	0.178661	1	21	28672
ca-CondMat.mtx.hgr.random100	ILP	4057	0.177883	1	203	28672
bloweya.mtx.hgr.random100	ILP	10001	11.4822	1	1	794624
ca-CondMat.mtx.hgr.random100	ILP	4057	0.178602	1	1002	28672
bloweya.mtx.hgr.random100	ILP	10001	11.3477	1	21	794624
bloweya.mtx.hgr.random100	ILP	10001	11.3298	1	203	794624
bloweya.mtx.hgr.random100	ILP	10001	11.3373	1	1002	794624
c-64.mtx.hgr.random100	ILP	22600	13.2565	1	1	1231872
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.365556	1	1	110592
c-64.mtx.hgr.random100	ILP	22600	13.0323	1	21	1231872
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.363997	1	21	110592
c-64.mtx.hgr.random100	ILP	22600	13.2776	1	203	1231872
c-64.mtx.hgr.random100	ILP	22600	13.2993	1	1002	1231872
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.361852	1	203	110592
