graph	algo	size	time	opt	seed	mem
dac2012_superblue11.hgr.random100	ILP	260445	3600.48	0	1	3329580
dac2012_superblue11.hgr.random100	ILP	260445	3600.53	0	21	3330088
dac2012_superblue11.hgr.random100	ILP	260445	3600.53	0	203	3330532
dac2012_superblue11.hgr.random100	ILP	260445	3600.49	0	1002	3327868
dac2012_superblue16.hgr.random100	ILP	221950	3600.4	0	1	5177264
dac2012_superblue16.hgr.random100	ILP	221950	3600.33	0	21	5178604
dac2012_superblue16.hgr.random100	ILP	221950	3600.4	0	203	5179240
dac2012_superblue16.hgr.random100	ILP	221950	3600.37	0	1002	5179176
dac2012_superblue6.hgr.random100	ILP	249685	3600.56	0	1	6452044
dac2012_superblue6.hgr.random100	ILP	249684	3600.67	0	21	6449128
dac2012_superblue6.hgr.random100	ILP	249684	3600.66	0	203	6451760
dac2012_superblue6.hgr.random100	ILP	249684	3600.65	0	1002	6450136
dac2012_superblue7.hgr.random100	ILP	292995	3600.65	0	1	4685956
dac2012_superblue7.hgr.random100	ILP	292995	3600.59	0	21	4686336
dac2012_superblue7.hgr.random100	ILP	292995	3600.64	0	203	4686536
dac2012_superblue7.hgr.random100	ILP	292995	3600.9	0	1002	4688572
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.25	0	1	1169832
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.24	0	21	1166984
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.25	0	203	1170008
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.25	0	1002	1170036
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132284	3600.29	0	1	1038576
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132284	3600.3	0	21	1037856
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132284	3600.27	0	203	1039316
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	132284	3600.28	0	1002	1037424
sat14_UCG-15-10p1.cnf.primal.hgr.random100	ILP	39543	3600.25	0	1	2534848
