graph	algo	size	time	opt	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	ILP	2541	3600.01	0	1	538636
as-22july06.mtx.hgr.random100	ILP	2057	0.658975	1	1	149404
as-caida.mtx.hgr.random100	ILP	7339	0.826837	1	1	176976
BenElechi1.mtx.hgr.random100	ILP	4453	3600.32	0	1	1475856
bips07_1998.mtx.hgr.random100	ILP	5359	0.144632	1	1	30720
bloweya.mtx.hgr.random100	ILP	10001	6.04236	1	1	484212
c-64.mtx.hgr.random100	ILP	22600	8.26462	1	1	815620
ca-CondMat.mtx.hgr.random100	ILP	4057	0.326069	1	1	59916
case39.mtx.hgr.random100.rendered	ILP	10017	20.7343	1	1	1759160
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	223.121	1	1	18841600
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.263439	1	1	98180
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	88.0686	1	1	1897232
dac2012_superblue11.hgr.random100	ILP	260445	3600.42	0	1	3907084
dac2012_superblue12.hgr.random100	ILP	281838	3600.58	0	1	6395900
dac2012_superblue14.hgr.random100	ILP	182604	3600.5	0	1	4407256
dac2012_superblue16.hgr.random100	ILP	221950	3600.38	0	1	5601740
dac2012_superblue2.hgr.random100	ILP	294361	3601.03	0	1	4699952
dac2012_superblue3.hgr.random100	ILP	208112	3600.45	0	1	5292276
dac2012_superblue6.hgr.random100	ILP	249685	3600.88	0	1	7617348
dac2012_superblue7.hgr.random100	ILP	292995	3600.77	0	1	6371840
dac2012_superblue9.hgr.random100	ILP	189169	3600.34	0	1	5823600
dictionary28.mtx.hgr.random100	ILP	29631	5.03396	1	1	83496
ex19.mtx.hgr.random100	ILP	985	0.180175	1	1	46080
fd18.mtx.hgr.random100	ILP	4104	3600.02	0	1	829304
g7jac040sc.mtx.hgr.random100	ILP	2960	0.637435	1	1	54272
garon2.mtx.hgr.random100	ILP	400	1.11141	1	1	62464
IMDB.mtx.hgr.random100	ILP	138181	10.7046	1	1	1537044
ISPD98_ibm11.hgr.random100	ILP	19660	2725.45	1	1	980608
ISPD98_ibm12.hgr.random100	ILP	19216	3600.06	0	1	823628
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	65.4996	1	1	4663764
lhr14.mtx.hgr.random100	ILP	4314	0.322083	1	1	56320
lp_pds_20.mtx.hgr.random100	ILP	14743	0.918146	1	1	121928
m14b.mtx.hgr.random100	ILP	8710	3600.21	0	1	1082852
msc10848.mtx.hgr.random100	ILP	88	1.15496	1	1	153600
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	30.4898	1	1	2141132
NotreDame_actors.mtx.hgr.random100	ILP	20684	3600.13	0	1	853052
pdb1HYS.mtx.hgr.random100	ILP	334	3600.27	0	1	1040208
poli3.mtx.hgr.random100	ILP	3523	0.0739539	1	1	29696
psse2.mtx.hgr.random100	ILP	3098	0.16289	1	1	36580
rgg_n_2_18_s0.mtx.hgr.random100	ILP	19200	3600.23	0	1	832912
sat14_6s11-opt.cnf.hgr.random100	ILP	30343	5.35727	1	1	365324
sat14_6s12.cnf.hgr.random100	ILP	31353	14.373	1	1	402464
sat14_6s130-opt.cnf.hgr.random100	ILP	45782	70.3481	1	1	568404
sat14_6s130-opt.cnf.primal.hgr.random100	ILP	18727	33.9843	1	1	363896
sat14_6s133.cnf.primal.hgr.random100	ILP	18577	5.4513	1	1	269496
sat14_6s16.cnf.primal.hgr.random100	ILP	11807	3.88418	1	1	179604
sat14_6s184.cnf.hgr.random100	ILP	30630	16.5572	1	1	388268
