graph	algo	size	time	opt	seed	mem
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	1002	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	203	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	1	0
Chebyshev4.mtx.hgr.random100.rendered	ILP	0	3600	0	21	0
dac2012_superblue6.hgr.random100	ILP	249685	3600.25	0	1	5828800
dac2012_superblue6.hgr.random100	ILP	249685	3600.21	0	21	4688648
dac2012_superblue6.hgr.random100	ILP	249685	3600.27	0	203	8210496
dac2012_superblue6.hgr.random100	ILP	249684	3600.37	0	1002	8857208
dac2012_superblue7.hgr.random100	ILP	292995	3600.29	0	203	6449668
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	1	824532
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.09	0	21	828424
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.09	0	203	826524
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.09	0	1002	828096
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	145450	3600.07	0	1	989564
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	145450	3600.07	0	21	989900
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	145450	3600.07	0	203	985540
as-22july06.mtx.hgr.random100	ILP	2057	4.4904	1	1	123904
as-22july06.mtx.hgr.random100	ILP	2057	4.4885	1	21	123904
as-22july06.mtx.hgr.random100	ILP	2057	4.54147	1	203	123904
as-22july06.mtx.hgr.random100	ILP	2057	4.56679	1	1002	123904
bips07_1998.mtx.hgr.random100	ILP	5359	0.0421494	1	1	19456
bips07_1998.mtx.hgr.random100	ILP	5359	0.0354252	1	21	19456
as-caida.mtx.hgr.random100	ILP	7339	5.55251	1	1	148480
as-caida.mtx.hgr.random100	ILP	7339	5.62736	1	21	148480
bips07_1998.mtx.hgr.random100	ILP	5359	0.0358008	1	203	19456
as-caida.mtx.hgr.random100	ILP	7339	5.60612	1	203	147456
bips07_1998.mtx.hgr.random100	ILP	5359	0.0347594	1	1002	19456
as-caida.mtx.hgr.random100	ILP	7339	5.56115	1	1002	148480
ca-CondMat.mtx.hgr.random100	ILP	4057	0.204948	1	1	25600
ca-CondMat.mtx.hgr.random100	ILP	4057	0.203848	1	21	26624
ca-CondMat.mtx.hgr.random100	ILP	4057	0.204022	1	203	26624
ca-CondMat.mtx.hgr.random100	ILP	4057	0.206613	1	1002	26624
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.220341	1	1	78848
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.216685	1	21	78848
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.216604	1	203	78848
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.218101	1	1002	78848
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	9.3926	1	1	547840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	9.32415	1	21	547840
crystk02.mtx.hgr.random100.lg.metis	ILP	1941959	9.36004	1	203	547840
