graph	algo	size	time	opt	seed	mem
dac2012_superblue11.hgr.random100	ILP	260445	3600.25	0	1	2703188
dac2012_superblue11.hgr.random100	ILP	260445	3600.62	0	21	4031644
dac2012_superblue11.hgr.random100	ILP	260445	3600.19	0	203	2752676
dac2012_superblue11.hgr.random100	ILP	260445	3600.59	0	1002	4054148
dac2012_superblue6.hgr.random100	ILP	249685	3600.38	0	1	5669336
dac2012_superblue6.hgr.random100	ILP	249684	3600.66	0	21	6674712
dac2012_superblue6.hgr.random100	ILP	249685	3600.37	0	203	6237096
dac2012_superblue6.hgr.random100	ILP	249685	3600.43	0	1002	5674472
dac2012_superblue7.hgr.random100	ILP	292995	3600.35	0	1	4723888
dac2012_superblue7.hgr.random100	ILP	292995	3600.33	0	21	5097908
dac2012_superblue7.hgr.random100	ILP	292995	3600.39	0	203	4872660
dac2012_superblue7.hgr.random100	ILP	292995	3600.33	0	1002	4702452
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	1	797864
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.08	0	21	798364
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	203	797020
sat14_dated-10-17-u.cnf.hgr.random100	ILP	146162	3600.07	0	1002	799132
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	145450	3600.06	0	1	942012
sat14_UCG-15-10p1.cnf.hgr.random100	ILP	145450	3600.07	0	21	942292
as-22july06.mtx.hgr.random100	ILP	2057	0.0258173	1	1	10240
as-22july06.mtx.hgr.random100	ILP	2057	0.0190297	1	21	10240
as-22july06.mtx.hgr.random100	ILP	2057	0.0194212	1	203	10240
as-22july06.mtx.hgr.random100	ILP	2057	0.0199458	1	1002	10240
as-caida.mtx.hgr.random100	ILP	7339	0.0262065	1	1	12288
as-caida.mtx.hgr.random100	ILP	7339	0.022788	1	21	12288
as-caida.mtx.hgr.random100	ILP	7339	0.0228162	1	203	12288
as-caida.mtx.hgr.random100	ILP	7339	0.0190721	1	1002	12288
bips07_1998.mtx.hgr.random100	ILP	5359	0.0382491	1	1	17408
bips07_1998.mtx.hgr.random100	ILP	5359	0.0318038	1	21	17408
bips07_1998.mtx.hgr.random100	ILP	5359	0.0328763	1	203	17408
bips07_1998.mtx.hgr.random100	ILP	5359	0.032364	1	1002	17408
bloweya.mtx.hgr.random100	ILP	10001	0.350773	1	1	11264
bloweya.mtx.hgr.random100	ILP	10001	0.35641	1	21	11264
bloweya.mtx.hgr.random100	ILP	10001	0.351542	1	203	11264
bloweya.mtx.hgr.random100	ILP	10001	0.349964	1	1002	11264
c-64.mtx.hgr.random100	ILP	22600	4.04527	1	1	22528
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0356733	1	1	12288
c-64.mtx.hgr.random100	ILP	22600	4.32552	1	21	22528
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0312132	1	21	12288
c-64.mtx.hgr.random100	ILP	22600	4.13368	1	203	22528
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0326936	1	203	12288
c-64.mtx.hgr.random100	ILP	22600	4.10148	1	1002	22528
ca-CondMat.mtx.hgr.random100	ILP	4057	0.0330203	1	1002	12288
case39.mtx.hgr.random100.rendered	ILP	10017	0.274077	1	1	24576
case39.mtx.hgr.random100.rendered	ILP	10017	0.26613	1	21	24576
case39.mtx.hgr.random100.rendered	ILP	10017	0.265065	1	203	24576
case39.mtx.hgr.random100.rendered	ILP	10017	0.265714	1	1002	24576
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0737304	1	1	76800
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0732357	1	21	76800
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0732323	1	203	76800
Chebyshev4.mtx.hgr.random100.rendered	ILP	1	0.0745246	1	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0131697	1	1	9216
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.011364	1	21	9216
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0124432	1	203	9216
Chem97Zt.mtx.hgr.random100.rendered	ILP	131	0.0123444	1	1002	9216
dictionary28.mtx.hgr.random100	ILP	29631	2.81799	1	1	44032
dictionary28.mtx.hgr.random100	ILP	29631	2.81988	1	21	46080
ex19.mtx.hgr.random100	ILP	985	0.0151713	1	1	9216
dictionary28.mtx.hgr.random100	ILP	29631	2.8153	1	203	46080
ex19.mtx.hgr.random100	ILP	985	0.0113328	1	21	9216
dictionary28.mtx.hgr.random100	ILP	29631	2.82132	1	1002	46080
ex19.mtx.hgr.random100	ILP	985	0.0114244	1	203	9216
ex19.mtx.hgr.random100	ILP	985	0.0113042	1	1002	9216
g7jac040sc.mtx.hgr.random100	ILP	2960	0.454105	1	1	26468
g7jac040sc.mtx.hgr.random100	ILP	2960	0.457896	1	21	26568
g7jac040sc.mtx.hgr.random100	ILP	2960	0.457779	1	203	26468
g7jac040sc.mtx.hgr.random100	ILP	2960	0.458207	1	1002	26472
garon2.mtx.hgr.random100	ILP	400	0.812931	1	1	28672
garon2.mtx.hgr.random100	ILP	400	0.81321	1	21	28672
garon2.mtx.hgr.random100	ILP	400	0.815441	1	203	28672
garon2.mtx.hgr.random100	ILP	400	0.813087	1	1002	28672
IMDB.mtx.hgr.random100	ILP	138181	2.31378	1	1	195584
IMDB.mtx.hgr.random100	ILP	138181	2.26543	1	21	195584
IMDB.mtx.hgr.random100	ILP	138181	2.27975	1	203	195584
IMDB.mtx.hgr.random100	ILP	138181	2.27235	1	1002	195584
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.366018	1	1	71680
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.376479	1	21	71680
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.36673	1	203	71680
kron_g500-logn16.mtx.hgr.random100.rendered	ILP	14103	0.366748	1	1002	71680
lhr14.mtx.hgr.random100	ILP	4314	0.104465	1	1	19456
lhr14.mtx.hgr.random100	ILP	4314	0.100971	1	21	19456
lhr14.mtx.hgr.random100	ILP	4314	0.100463	1	203	19456
lhr14.mtx.hgr.random100	ILP	4314	0.102045	1	1002	19456
lp_pds_20.mtx.hgr.random100	ILP	14743	2.19592	1	1	85976
lp_pds_20.mtx.hgr.random100	ILP	14743	2.20415	1	21	85816
lp_pds_20.mtx.hgr.random100	ILP	14743	2.2004	1	203	85924
msc10848.mtx.hgr.random100	ILP	88	0.0789912	1	1	30720
msc10848.mtx.hgr.random100	ILP	88	0.0795274	1	21	30720
lp_pds_20.mtx.hgr.random100	ILP	14743	2.20918	1	1002	85816
msc10848.mtx.hgr.random100	ILP	88	0.0791591	1	203	30720
msc10848.mtx.hgr.random100	ILP	88	0.0795026	1	1002	30720
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0542235	1	1	12288
mult_dcop_01.mtx.hgr.random100.rendered	ILP	1540	0.0472164	1	21	12288
