graph	algo	n	m	rn	rm	gm	rgm	seed
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	8717	8776	285036	70937	1
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	8717	8776	285036	70937	21
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	8717	8776	285036	70937	203
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	8717	8776	285036	70937	1002
as-22july06.mtx.hgr.random100	reduce8	22963	22963	0	0	11087884	0	1
as-22july06.mtx.hgr.random100	reduce8	22963	22963	0	0	11087884	0	21
as-22july06.mtx.hgr.random100	reduce8	22963	22963	0	0	11087884	0	203
as-22july06.mtx.hgr.random100	reduce8	22963	22963	0	0	11087884	0	1002
as-caida.mtx.hgr.random100	reduce8	31379	26475	0	0	13427236	0	1
as-caida.mtx.hgr.random100	reduce8	31379	26475	0	0	13427236	0	21
as-caida.mtx.hgr.random100	reduce8	31379	26475	0	0	13427236	0	203
as-caida.mtx.hgr.random100	reduce8	31379	26475	0	0	13427236	0	1002
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	24225	24311	18007735	246081	1
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	24225	24311	18007735	246081	21
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	62	62	76639	62	1
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	24225	24311	18007735	246081	203
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	62	62	76639	62	21
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	24225	24311	18007735	246081	1002
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	62	62	76639	62	203
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	62	62	76639	62	1002
bloweya.mtx.hgr.random100	reduce8	30004	30004	0	0	50165003	0	1
bloweya.mtx.hgr.random100	reduce8	30004	30004	0	0	50165003	0	21
bloweya.mtx.hgr.random100	reduce8	30004	30004	0	0	50165003	0	203
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	0	0	1166152	0	1
bloweya.mtx.hgr.random100	reduce8	30004	30004	0	0	50165003	0	1002
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	0	0	1166152	0	21
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	0	0	1166152	0	203
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	0	0	1166152	0	1002
c-64.mtx.hgr.random100	reduce8	51035	51035	0	0	77477503	0	1
c-64.mtx.hgr.random100	reduce8	51035	51035	0	0	77477503	0	21
c-64.mtx.hgr.random100	reduce8	51035	51035	0	0	77477503	0	203
c-64.mtx.hgr.random100	reduce8	51035	51035	0	0	77477503	0	1002
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	0	0	6477155	0	1
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	0	0	6477155	0	21
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	0	0	6477155	0	203
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	0	0	6477155	0	1002
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	0	0	202332534	0	1
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	0	0	202332534	0	21
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	0	0	202332534	0	203
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	0	0	202332534	0	1002
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	0	0	8612475	0	1
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	0	0	8612475	0	21
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	0	0	8612475	0	203
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	0	0	8612475	0	1002
dac2012_superblue11.hgr.random100	reduce8	952507	935731	91365	98828	48087605	1116473	1
dac2012_superblue11.hgr.random100	reduce8	952507	935731	91365	98828	48087605	1116473	21
dac2012_superblue11.hgr.random100	reduce8	952507	935731	91365	98828	48087605	1116473	203
dac2012_superblue11.hgr.random100	reduce8	952507	935731	91365	98828	48087605	1116473	1002
dac2012_superblue16.hgr.random100	reduce8	698339	697458	94070	95857	26888875	500535	1
dac2012_superblue16.hgr.random100	reduce8	698339	697458	94070	95857	26888875	500535	21
dac2012_superblue16.hgr.random100	reduce8	698339	697458	94070	95857	26888875	500535	203
dac2012_superblue16.hgr.random100	reduce8	698339	697458	94070	95857	26888875	500535	1002
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	330820	307284	247547156	3939133	1
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	330820	307284	247547156	3939133	21
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	330820	307284	247547156	3939133	203
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	330820	307284	247547156	3939133	1002
dac2012_superblue14.hgr.random100	reduce8	630802	619815	121292	112269	74163031	4321812	1
dac2012_superblue14.hgr.random100	reduce8	630802	619815	121292	112269	74163031	4321812	21
dac2012_superblue14.hgr.random100	reduce8	630802	619815	121292	112269	74163031	4321812	203
dac2012_superblue14.hgr.random100	reduce8	630802	619815	121292	112269	74163031	4321812	1002
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	211913	215420	48124327	2767730	1
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	211913	215420	48124327	2767730	21
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	211913	215420	48124327	2767730	203
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	211913	215420	48124327	2767730	1002
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	1
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	21
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	203
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	1002
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	1
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	21
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	1
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	1002
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	1
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	21
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	203
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	21
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	203
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	203
