graph	algo	n	m	e	rn	rm	re	offset	time	seed
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.01369	1
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00940	1
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.01175	1
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01441	1
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04613	1
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03214	1
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23659	1
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25165	1
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.24879	1
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25113	1
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27103	1
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26859	1
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.24090	1
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24371	1
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03908	1
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00936	21
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00898	21
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.00989	21
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01194	21
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04657	21
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03320	21
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23354	21
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25478	21
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.24894	21
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25828	21
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.26821	21
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26553	21
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.23973	21
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24502	21
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03950	21
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00922	203
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00926	203
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.00985	203
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01348	203
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04680	203
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03365	203
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23592	203
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25111	203
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.25005	203
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25448	203
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27398	203
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26799	203
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.23975	203
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24494	203
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.04038	203
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00764	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00742	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.01014	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01430	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04551	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03270	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23565	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25098	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.25460	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25440	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27113	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26240	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.24005	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24413	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03826	1002
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00928	1
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.00878	1
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.00968	1
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.08121	1
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.27827	1
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.39679	1
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02025	1
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01952	1
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.12709	1
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01956	1
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01961	1
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01960	1
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01846	1
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	9.04056	1
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01816	1
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00507	21
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.01465	21
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.00954	21
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.07666	21
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.29206	21
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.45883	21
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02028	21
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01908	21
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.12437	21
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01935	21
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01932	21
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01940	21
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01802	21
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	8.90393	21
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01778	21
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00775	203
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.01478	203
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.01299	203
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.08205	203
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.28507	203
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.43271	203
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02054	203
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01908	203
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.13031	203
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01958	203
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01954	203
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01976	203
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01823	203
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	8.99340	203
