graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25577	1	13312
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25069	21	13312
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25045	203	13312
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.24952	1002	13312
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02046	1	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02027	21	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02019	203	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02008	1002	9216
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.01964	1	12288
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.01959	21	12288
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02080	203	11264
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02392	1002	12288
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.91456	1	179200
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.93694	21	179200
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.91748	203	179200
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.01924	1	7168
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.92966	1002	179200
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.00993	21	7168
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.00985	203	7168
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.01755	1002	7168
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.37093	1	11264
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.36632	21	11264
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.38513	203	11264
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.36324	1002	11264
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.04199	1	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.24741	1	22528
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03755	21	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.22352	21	22528
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.46538	203	22528
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03432	203	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.52217	1002	22528
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03189	1002	10240
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.28271	1	23552
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.28073	21	23552
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.27870	203	23552
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.28587	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07913	1	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.08157	21	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07862	203	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07919	1002	76800
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.01449	1	9216
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.01366	21	9216
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.01344	203	8192
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.01356	1002	9216
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	7.68542	1	433152
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	7.83468	21	432128
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	7.68166	203	433152
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	7.79452	1002	433152
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91365	98828	2.76	230997	18.60084	1	512724
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91365	98828	2.76	230997	18.64768	21	512720
