graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	graphred15	23412	23412	23412	285036	8717	70937	751	0.58223	1	16384
ABACUS_shell_hd.mtx.hgr.random100	graphred15	23412	23412	23412	285036	8717	70937	751	0.57319	21	16384
ABACUS_shell_hd.mtx.hgr.random100	graphred15	23412	23412	23412	285036	8717	70937	751	0.57273	203	16384
ABACUS_shell_hd.mtx.hgr.random100	graphred15	23412	23412	23412	285036	8717	70937	751	0.57147	1002	16384
as-22july06.mtx.hgr.random100	graphred15	22963	22963	22963	11087884	0	0	2057	1.10319	1	183296
as-22july06.mtx.hgr.random100	graphred15	22963	22963	22963	11087884	0	0	2057	1.11416	21	183296
as-22july06.mtx.hgr.random100	graphred15	22963	22963	22963	11087884	0	0	2057	1.11124	203	183296
as-22july06.mtx.hgr.random100	graphred15	22963	22963	22963	11087884	0	0	2057	1.10266	1002	183296
as-caida.mtx.hgr.random100	graphred15	31379	26475	31379	13427236	0	0	7339	1.41655	1	221184
as-caida.mtx.hgr.random100	graphred15	31379	26475	31379	13427236	0	0	7339	1.40140	21	221184
as-caida.mtx.hgr.random100	graphred15	31379	26475	31379	13427236	0	0	7339	1.40440	203	221184
as-caida.mtx.hgr.random100	graphred15	31379	26475	31379	13427236	0	0	7339	1.40794	1002	221184
bips07_1998.mtx.hgr.random100	graphred15	15066	15066	15066	76639	62	62	5328	0.01003	1	10240
bips07_1998.mtx.hgr.random100	graphred15	15066	15066	15066	76639	62	62	5328	0.01739	21	10240
bips07_1998.mtx.hgr.random100	graphred15	15066	15066	15066	76639	62	62	5328	0.00998	203	10240
bips07_1998.mtx.hgr.random100	graphred15	15066	15066	15066	76639	62	62	5328	0.01717	1002	10240
BenElechi1.mtx.hgr.random100	graphred15	245874	245874	245874	18007735	24162	245763	1214	6.93914	1	447488
BenElechi1.mtx.hgr.random100	graphred15	245874	245874	245874	18007735	24162	245763	1214	6.89986	21	447488
BenElechi1.mtx.hgr.random100	graphred15	245874	245874	245874	18007735	24162	245763	1214	6.89830	203	447488
BenElechi1.mtx.hgr.random100	graphred15	245874	245874	245874	18007735	24162	245763	1214	6.91310	1002	447488
ca-CondMat.mtx.hgr.random100	graphred15	23133	23133	23133	1166152	0	0	4057	0.18271	1	28672
ca-CondMat.mtx.hgr.random100	graphred15	23133	23133	23133	1166152	0	0	4057	0.17785	21	28672
ca-CondMat.mtx.hgr.random100	graphred15	23133	23133	23133	1166152	0	0	4057	0.17761	203	28672
bloweya.mtx.hgr.random100	graphred15	30004	30004	30004	50165003	0	0	10001	11.34119	1	794624
ca-CondMat.mtx.hgr.random100	graphred15	23133	23133	23133	1166152	0	0	4057	0.17956	1002	28672
bloweya.mtx.hgr.random100	graphred15	30004	30004	30004	50165003	0	0	10001	11.55010	21	793600
bloweya.mtx.hgr.random100	graphred15	30004	30004	30004	50165003	0	0	10001	11.47920	203	794624
bloweya.mtx.hgr.random100	graphred15	30004	30004	30004	50165003	0	0	10001	11.45968	1002	794624
c-64.mtx.hgr.random100	graphred15	51035	51035	51035	77477503	0	0	22600	13.81008	1	1231872
c-64.mtx.hgr.random100	graphred15	51035	51035	51035	77477503	0	0	22600	13.13902	21	1231872
c-64.mtx.hgr.random100	graphred15	51035	51035	51035	77477503	0	0	22600	13.05567	203	1231872
c-64.mtx.hgr.random100	graphred15	51035	51035	51035	77477503	0	0	22600	13.04539	1002	1231872
Chem97Zt.mtx.hgr.random100.rendered	graphred15	31022	2541	31022	6477155	0	0	131	0.36456	1	110592
Chem97Zt.mtx.hgr.random100.rendered	graphred15	31022	2541	31022	6477155	0	0	131	0.35406	21	110592
Chem97Zt.mtx.hgr.random100.rendered	graphred15	31022	2541	31022	6477155	0	0	131	0.36113	203	110592
Chem97Zt.mtx.hgr.random100.rendered	graphred15	31022	2541	31022	6477155	0	0	131	0.36553	1002	110592
crystk02.mtx.hgr.random100.lg.metis	graphred15	1955868	13965	1955868	8612475	0	0	1941959	3.26865	1	442724
crystk02.mtx.hgr.random100.lg.metis	graphred15	1955868	13965	1955868	8612475	0	0	1941959	3.21417	21	442728
crystk02.mtx.hgr.random100.lg.metis	graphred15	1955868	13965	1955868	8612475	0	0	1941959	3.19923	203	442728
crystk02.mtx.hgr.random100.lg.metis	graphred15	1955868	13965	1955868	8612475	0	0	1941959	3.16672	1002	442720
case39.mtx.hgr.random100.rendered	graphred15	40216	40216	40216	202332534	0	0	10017	76.22006	1	3185664
case39.mtx.hgr.random100.rendered	graphred15	40216	40216	40216	202332534	0	0	10017	76.22036	21	3185664
case39.mtx.hgr.random100.rendered	graphred15	40216	40216	40216	202332534	0	0	10017	75.65763	203	3185664
case39.mtx.hgr.random100.rendered	graphred15	40216	40216	40216	202332534	0	0	10017	75.99707	1002	3185664
dac2012_superblue11.hgr.random100	graphred15	952507	935731	952507	48087605	91031	1113150	231120	104.18941	1	980148
dac2012_superblue11.hgr.random100	graphred15	952507	935731	952507	48087605	91031	1113150	231120	103.96181	21	980148
dac2012_superblue11.hgr.random100	graphred15	952507	935731	952507	48087605	91031	1113150	231120	103.67389	203	980148
dac2012_superblue11.hgr.random100	graphred15	952507	935731	952507	48087605	91031	1113150	231120	104.07136	1002	980152
dac2012_superblue16.hgr.random100	graphred15	698339	697458	698339	26888875	93472	496176	190130	107.13650	1	583212
dac2012_superblue16.hgr.random100	graphred15	698339	697458	698339	26888875	93472	496176	190130	107.21832	21	583212
dac2012_superblue16.hgr.random100	graphred15	698339	697458	698339	26888875	93472	496176	190130	107.24270	203	583212
dac2012_superblue16.hgr.random100	graphred15	698339	697458	698339	26888875	93472	496176	190130	107.14706	1002	583212
Chebyshev4.mtx.hgr.random100.rendered	graphred15	-2	-2	-2	-2	-2	-2	-2	280.28	21	0
Chebyshev4.mtx.hgr.random100.rendered	graphred15	-2	-2	-2	-2	-2	-2	-2	282.21	203	0
Chebyshev4.mtx.hgr.random100.rendered	graphred15	-2	-2	-2	-2	-2	-2	-2	290.08	1	0
Chebyshev4.mtx.hgr.random100.rendered	graphred15	-2	-2	-2	-2	-2	-2	-2	296.43	1002	0
dac2012_superblue2.hgr.random100	graphred15	1010321	990899	1010321	48124327	212083	2780813	232385	316.20429	21	1011068
dac2012_superblue2.hgr.random100	graphred15	1010321	990899	1010321	48124327	212083	2780813	232385	315.55853	203	1010772
dac2012_superblue2.hgr.random100	graphred15	1010321	990899	1010321	48124327	212083	2780813	232385	319.15536	1	1011064
dac2012_superblue2.hgr.random100	graphred15	1010321	990899	1010321	48124327	212083	2780813	232385	317.85713	1002	1011064
