graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.27127	1	15360
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.27004	21	15360
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.26957	203	15360
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.26881	1002	15360
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	4.49975	1	121856
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	4.51209	21	121856
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	4.56545	203	121856
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	4.57671	1002	121856
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	5.52111	1	147456
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	5.58609	21	147456
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	5.61044	203	147456
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	3.45807	1	421888
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.02347	1	8192
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	5.57279	1002	147456
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	3.44651	21	421888
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.01436	21	8192
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	3.38732	203	421888
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.02135	203	8192
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	3.44109	1002	421888
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.01440	1002	8192
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.20665	1	23552
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.20385	21	23552
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.20277	203	23552
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.20301	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	201.44923	1	18349056
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.22825	1	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	202.01760	21	18348032
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.22586	21	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	202.34497	203	18349056
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.22315	203	76800
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.22159	1002	76800
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	211.11988	1002	18349056
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	9.34806	1	562176
