graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.56980	1	12288
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.56027	21	11264
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.56038	203	12288
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.56046	1002	12288
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02082	1	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.01986	21	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.01441	203	9216
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.01711	1002	9216
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02472	1	11264
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02374	21	11264
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02116	203	11264
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02341	1002	11264
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	1.48164	1	174080
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	1.48275	21	174080
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	1.49348	203	174080
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	56	56	2.00	5331	0.01983	1	7168
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	1.49864	1002	174080
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	56	56	2.00	5331	0.01155	21	6144
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	56	56	2.00	5331	0.01867	203	7168
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	56	56	2.00	5331	0.01863	1002	7168
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.36699	1	10240
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.36640	21	10240
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.35877	203	10240
bloweya.mtx.hgr.random100	reduce8	30004	30004	5.00	0	0	0.00	10001	0.37374	1002	10240
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03642	1	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.27621	1	21504
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.23383	21	20480
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03436	21	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.23423	203	21504
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03316	203	10240
c-64.mtx.hgr.random100	reduce8	51035	51035	14.07	0	0	0.00	22600	4.24545	1002	21504
ca-CondMat.mtx.hgr.random100	reduce8	23133	23133	8.08	0	0	0.00	4057	0.03175	1002	9216
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.28230	1	23552
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.27904	21	22528
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.28248	203	23552
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	0.31076	1002	23552
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07813	1	75776
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07738	21	75776
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07709	203	75776
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	78.94	0	0	0.00	1	0.07850	1002	75776
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.01380	1	8192
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.00694	21	8192
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.00688	203	8192
Chem97Zt.mtx.hgr.random100.rendered	reduce8	31022	2541	24.42	0	0	0.00	131	0.00690	1002	8192
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	550.27264	1	345088
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	551.42574	21	345088
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91289	98757	2.76	231027	546.86280	21	249348
crystk02.mtx.hgr.random100.lg.metis	reduce8	1955868	13965	280.11	0	0	0.00	1941959	550.03695	1002	345088
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91289	98757	2.76	231027	549.37304	1	249560
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91289	98757	2.76	231027	546.48868	203	248532
