graph	 seed	 red_n	 red_m	 time	 reduction
ABACUS_shell_hd.mtx.hgr.random100	1	0	443	0.00054	edge_size
ABACUS_shell_hd.mtx.hgr.random100	1	5884	686	0.00515	node_degree_one
ABACUS_shell_hd.mtx.hgr.random100	1	0	13507	0.00972	edge_domination
ABACUS_shell_hd.mtx.hgr.random100	1	8580	0	0.01537	fast_node_domination
ABACUS_shell_hd.mtx.hgr.random100	1	45	0	0.01175	node_domination
ABACUS_shell_hd.mtx.hgr.random100	1	0	0	0.00443	twin
ABACUS_shell_hd.mtx.hgr.random100	1	186	0	0.21107	unconfined
ABACUS_shell_hd.mtx.hgr.random100	21	0	443	0.00048	edge_size
ABACUS_shell_hd.mtx.hgr.random100	21	5884	686	0.00331	node_degree_one
ABACUS_shell_hd.mtx.hgr.random100	21	0	13507	0.00723	edge_domination
ABACUS_shell_hd.mtx.hgr.random100	21	8580	0	0.01002	fast_node_domination
ABACUS_shell_hd.mtx.hgr.random100	21	45	0	0.01194	node_domination
ABACUS_shell_hd.mtx.hgr.random100	21	0	0	0.00443	twin
ABACUS_shell_hd.mtx.hgr.random100	21	186	0	0.20989	unconfined
ABACUS_shell_hd.mtx.hgr.random100	203	0	443	0.00040	edge_size
ABACUS_shell_hd.mtx.hgr.random100	203	5884	686	0.00312	node_degree_one
ABACUS_shell_hd.mtx.hgr.random100	203	0	13507	0.00649	edge_domination
ABACUS_shell_hd.mtx.hgr.random100	203	8580	0	0.00994	fast_node_domination
ABACUS_shell_hd.mtx.hgr.random100	203	45	0	0.01180	node_domination
ABACUS_shell_hd.mtx.hgr.random100	203	0	0	0.00429	twin
ABACUS_shell_hd.mtx.hgr.random100	203	186	0	0.21152	unconfined
ABACUS_shell_hd.mtx.hgr.random100	1002	0	443	0.00040	edge_size
ABACUS_shell_hd.mtx.hgr.random100	1002	5884	686	0.00312	node_degree_one
ABACUS_shell_hd.mtx.hgr.random100	1002	0	13507	0.00644	edge_domination
ABACUS_shell_hd.mtx.hgr.random100	1002	8580	0	0.00990	fast_node_domination
ABACUS_shell_hd.mtx.hgr.random100	1002	45	0	0.01178	node_domination
ABACUS_shell_hd.mtx.hgr.random100	1002	0	0	0.00430	twin
ABACUS_shell_hd.mtx.hgr.random100	1002	186	0	0.21077	unconfined
as-22july06.mtx.hgr.random100	1	0	21723	0.00082	edge_size
as-22july06.mtx.hgr.random100	1	22963	1230	0.00954	node_degree_one
as-22july06.mtx.hgr.random100	1	0	10	0.00012	edge_domination
as-22july06.mtx.hgr.random100	1	0	0	0.00009	fast_node_domination
as-22july06.mtx.hgr.random100	1	0	0	0.00008	node_domination
as-22july06.mtx.hgr.random100	1	0	0	0.00079	twin
as-22july06.mtx.hgr.random100	1	0	0	0.00078	unconfined
as-22july06.mtx.hgr.random100	21	0	21723	0.00084	edge_size
as-22july06.mtx.hgr.random100	21	22963	1230	0.00946	node_degree_one
as-22july06.mtx.hgr.random100	21	0	10	0.00012	edge_domination
as-22july06.mtx.hgr.random100	21	0	0	0.00009	fast_node_domination
as-22july06.mtx.hgr.random100	21	0	0	0.00008	node_domination
as-22july06.mtx.hgr.random100	21	0	0	0.00078	twin
as-22july06.mtx.hgr.random100	21	0	0	0.00078	unconfined
as-22july06.mtx.hgr.random100	203	0	21723	0.00140	edge_size
as-22july06.mtx.hgr.random100	203	22963	1230	0.01345	node_degree_one
as-22july06.mtx.hgr.random100	203	0	10	0.00012	edge_domination
as-22july06.mtx.hgr.random100	203	0	0	0.00009	fast_node_domination
as-22july06.mtx.hgr.random100	203	0	0	0.00008	node_domination
as-22july06.mtx.hgr.random100	203	0	0	0.00079	twin
